small_target,small_area,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,selection,success,wrong
0,1,1,1,1,0.0,1.200291,-0.2509043,0.2512215,4.987378,0.1530572,0.8487419,0.3479881,-0.03981376,-0.1887183,0.9812239,0.09185745,-0.03082657,0.1150582,0.9886221,0,0,0
0,1,1,1,2,0.013,1.200291,-0.2509043,0.2512215,4.987378,0.1524359,0.8478931,0.3478061,-0.0483273,-0.1923372,0.9801382,0.09321281,-0.03524587,0.1145095,0.9884112,0,0,0
0,1,1,1,3,0.054,1.200291,-0.2509043,0.2512215,4.987378,0.1521645,0.8478827,0.3476382,-0.03906199,-0.1770624,0.9834241,0.08595053,-0.03000722,0.1179881,0.988833,0,0,0
0,1,1,1,4,0.11,1.200291,-0.2509043,0.2512215,4.987378,0.1519373,0.8476839,0.3473118,-0.04922349,-0.1900254,0.9805444,0.09196641,-0.03563653,0.115388,0.9884118,0,0,0
0,1,1,1,5,0.166,1.200291,-0.2509043,0.2512215,4.987378,0.1525927,0.8482178,0.3472683,-0.04516538,-0.187979,0.981134,0.09112763,-0.03359679,0.116595,0.9884193,0,0,0
0,1,1,1,6,0.207,1.200291,-0.2509043,0.2512215,4.987378,0.153229,0.85045,0.347114,-0.04170612,-0.1699666,0.9845669,0.08233012,-0.03063188,0.1148652,0.9894894,0,0,0
0,1,1,1,7,0.263,1.200291,-0.2509043,0.2512215,4.987378,0.1525937,0.8591666,0.3447493,-0.04018207,-0.1106758,0.993044,0.05302863,-0.02580683,0.1042818,0.9927977,0,0,0
0,1,1,1,8,0.305,1.200291,-0.2509043,0.2512215,4.987378,0.1511472,0.8674849,0.3417998,-0.05776337,-0.06420397,0.9962636,0.02949108,-0.03159834,0.08704598,0.9952662,0,0,0
0,1,1,1,9,0.361,1.200291,-0.2509043,0.2512215,4.987378,0.1502402,0.879138,0.3373366,-0.04862387,-0.007187051,0.9987913,0.001517696,-0.02453661,0.08484307,0.9960911,0,0,0
0,1,1,1,10,0.403,1.200291,-0.2509043,0.2512215,4.987378,0.149278,0.8857788,0.3340673,-0.05326914,0.01722732,0.9984316,-0.01069759,-0.02587995,0.07906628,0.996476,0,0,0
0,1,1,1,11,0.458,1.200291,-0.2509043,0.2512215,4.987378,0.1474729,0.8924986,0.3298376,-0.07807212,0.0390561,0.9961824,-0.02238756,-0.03751799,0.07400907,0.9963,0,0,0
0,1,1,1,12,0.514,1.200291,-0.2509043,0.2512215,4.987378,0.1480441,0.8983688,0.3274221,-0.05154182,0.08891658,0.9947046,-0.04641855,-0.02220377,0.07897707,0.9955475,0,0,0
0,1,1,1,13,0.556,1.200291,-0.2509043,0.2512215,4.987378,0.147903,0.9007332,0.3264158,-0.04167111,0.09864518,0.9942498,-0.05079169,-0.01718456,0.07327946,0.995869,0,0,0
0,1,1,1,14,0.611,1.200291,-0.2509043,0.2512215,4.987378,0.1462571,0.9003606,0.3257224,-0.06995035,0.08677848,0.9937688,-0.04598301,-0.03164111,0.07554892,0.9955786,0,0,0
0,1,1,1,15,0.653,1.200291,-0.2509043,0.2512215,4.987378,0.1458519,0.9001039,0.3252933,-0.06310398,0.09818392,0.9931656,-0.05162407,-0.02742592,0.08265492,0.9948623,0,0,0
0,1,1,1,16,0.709,1.200291,-0.2509043,0.2512215,4.987378,0.1453221,0.8999302,0.3252805,-0.0768009,0.08976745,0.9929972,-0.04763263,-0.03510749,0.07235939,0.9956218,0,0,0
0,1,1,1,17,0.765,1.200291,-0.2509043,0.2512215,4.987378,0.1447188,0.9011618,0.3243427,-0.07680726,0.1084114,0.9911345,-0.05708135,-0.03427045,0.07545622,0.9949239,0,0,0
0,1,1,1,18,0.806,1.200291,-0.2509043,0.2512215,4.987378,0.1445246,0.9019024,0.3238836,-0.08014753,0.111116,0.9905704,-0.05844182,-0.03604692,0.07196224,0.995041,0,0,0
0,1,1,1,19,0.862,1.200291,-0.2509043,0.2512215,4.987378,0.1441497,0.9020931,0.3235485,-0.08731159,0.1044165,0.9906936,-0.0553047,-0.0399321,0.07083013,0.9951532,0,0,0
0,1,1,1,20,0.904,1.200291,-0.2509043,0.2512215,4.987378,0.14411,0.9022233,0.3234001,-0.08557551,0.1081935,0.9904398,-0.05721595,-0.03881283,0.07290512,0.9949396,0,0,0
0,1,1,1,21,0.96,1.200291,-0.2509043,0.2512215,4.987378,0.1440081,0.9020647,0.3234262,-0.0886912,0.104351,0.990578,-0.05530339,-0.04065147,0.070357,0.9951577,0,0,0
0,1,1,1,22,1.015,1.200291,-0.2509043,0.2512215,4.987378,0.1441301,0.9022132,0.323207,-0.08750217,0.1089135,0.9901925,-0.05752072,-0.03993883,0.0696722,0.9951091,0,0,0
0,1,1,1,23,1.044,1.200291,-0.2509043,0.2512215,4.987378,0.144413,0.9023305,0.3233212,-0.08091985,0.1111476,0.990504,-0.05834779,-0.03665421,0.0681833,0.9952905,1,1,0
0,1,1,2,1,0.001,1.200291,0.2512216,0.0,4.993685,0.1490574,0.8520708,0.3445409,-0.03098095,-0.1786433,0.983426,0.08719911,-0.02613997,0.1187537,0.9887419,0,0,0
0,1,1,2,2,0.041,1.200291,0.2512216,0.0,4.993685,0.1498359,0.8491331,0.3460754,-0.01891443,-0.1678616,0.9856291,0.08240128,-0.01988669,0.1238362,0.9886754,0,0,0
0,1,1,2,3,0.083,1.200291,0.2512216,0.0,4.993685,0.149716,0.8484772,0.3463482,-0.03417717,-0.1743088,0.9840977,0.08499288,-0.02696928,0.1129505,0.9895914,0,0,0
0,1,1,2,4,0.139,1.200291,0.2512216,0.0,4.993685,0.1492701,0.8500153,0.3457306,-0.03287598,-0.1588689,0.9867522,0.07716959,-0.02586062,0.1186174,0.9895989,0,0,0
0,1,1,2,5,0.181,1.200291,0.2512216,0.0,4.993685,0.1491782,0.8508186,0.3454978,-0.03385382,-0.1579116,0.9868728,0.07671547,-0.02604526,0.115465,0.9900021,0,0,0
0,1,1,2,6,0.236,1.200291,0.2512216,0.0,4.993685,0.1497746,0.8558761,0.3443927,-0.02908385,-0.1351354,0.9904002,0.06562068,-0.02222219,0.114013,0.9910606,0,0,0
0,1,1,2,7,0.292,1.200291,0.2512216,0.0,4.993685,0.1514346,0.8687255,0.3416398,-0.01029776,-0.02744205,0.9995704,0.01315887,-0.006455064,0.09690107,0.9951861,0,0,0
0,1,1,2,8,0.334,1.200291,0.2512216,0.0,4.993685,0.1538805,0.8774086,0.3402525,0.002580212,-0.007911468,0.9999654,0.004051504,0.0009475349,0.08541077,0.9963371,0,0,0
0,1,1,2,9,0.389,1.200291,0.2512216,0.0,4.993685,0.1561587,0.8857206,0.3374604,0.01175181,0.02792221,0.999541,-0.01350587,0.006861702,0.07162696,0.9973165,0,0,0
0,1,1,2,10,0.431,1.200291,0.2512216,0.0,4.993685,0.1565298,0.8888904,0.3360495,-0.002491008,0.03509242,0.9993809,-0.01759292,7.596611e-05,0.07510089,0.9970207,0,0,0
0,1,1,2,11,0.487,1.200291,0.2512216,0.0,4.993685,0.1578958,0.8917814,0.3351806,0.004533981,0.04331623,0.9990511,-0.02144781,0.003798678,0.07092647,0.9972437,0,0,0
0,1,1,2,12,0.543,1.200291,0.2512216,0.0,4.993685,0.1580301,0.8924427,0.3350447,0.003089542,0.04504315,0.9989803,-0.02236605,0.003102809,0.06929191,0.9973407,0,0,0
0,1,1,2,13,0.584,1.200291,0.2512216,0.0,4.993685,0.1585353,0.8929666,0.3350659,0.00716353,0.05128014,0.9986586,-0.02532693,0.005407288,0.07146072,0.9971071,0,0,0
0,1,1,2,14,0.64,1.200291,0.2512216,0.0,4.993685,0.1591158,0.8933252,0.3351562,0.01063769,0.05444275,0.9984602,-0.02681597,0.007126719,0.06672306,0.9973856,0,0,0
0,1,1,2,15,0.682,1.200291,0.2512216,0.0,4.993685,0.1590692,0.8934121,0.3350883,0.009040595,0.05450075,0.9984728,-0.02689085,0.006362482,0.06786986,0.9973114,0,0,0
0,1,1,2,16,0.738,1.200291,0.2512216,0.0,4.993685,0.1597946,0.8944817,0.3349082,0.01517224,0.06250534,0.9979293,-0.03070776,0.009611665,0.06513493,0.9973575,0,0,0
0,1,1,2,17,0.779,1.200291,0.2512216,0.0,4.993685,0.1601298,0.8949465,0.3347798,0.01818845,0.06461372,0.9977446,-0.03167239,0.01116107,0.06432808,0.9973636,0,0,0
0,1,1,2,18,0.835,1.200291,0.2512216,0.0,4.993685,0.160996,0.8953948,0.3348572,0.02241482,0.06558254,0.9975954,-0.03204098,0.01325498,0.06283806,0.9974211,0,0,0
0,1,1,2,19,0.891,1.200291,0.2512216,0.0,4.993685,0.1615556,0.895559,0.3349586,0.02524483,0.06390017,0.9976369,-0.03115832,0.01451511,0.05963959,0.997628,0,0,0
0,1,1,2,20,0.892,1.200291,0.2512216,0.0,4.993685,0.1615556,0.895559,0.3349586,0.02524483,0.06390017,0.9976369,-0.03115832,0.01451511,0.05963959,0.997628,1,1,0
0,1,1,3,1,0.0,1.200291,0.1256108,-0.1256505,4.996843,0.1489833,0.8484313,0.3451608,-0.02647838,-0.1926713,0.9809061,0.09410428,-0.02629372,0.1348237,0.9860404,0,0,0
0,1,1,3,2,0.027,1.200291,0.1256108,-0.1256505,4.996843,0.1490388,0.8497354,0.3448206,-0.03065146,-0.18694,0.9818931,0.09105964,-0.0275975,0.1307765,0.9868354,0,0,0
0,1,1,3,3,0.068,1.200291,0.1256108,-0.1256505,4.996843,0.1492118,0.8512262,0.3443345,-0.03694089,-0.186011,0.981853,0.09025706,-0.03044941,0.1283819,0.9871396,0,0,0
0,1,1,3,4,0.124,1.200291,0.1256108,-0.1256505,4.996843,0.149212,0.8527697,0.3438979,-0.03903298,-0.1824465,0.9824407,0.0883444,-0.03122376,0.1280414,0.9873326,0,0,0
0,1,1,3,5,0.166,1.200291,0.1256108,-0.1256505,4.996843,0.1493601,0.8535498,0.3437076,-0.03954933,-0.1792483,0.9830086,0.08673375,-0.03119236,0.127177,0.9875881,0,0,0
0,1,1,3,6,0.222,1.200291,0.1256108,-0.1256505,4.996843,0.1496463,0.8590857,0.34232,-0.03489092,-0.1492545,0.988183,0.07201539,-0.02687499,0.1268118,0.9889441,0,0,0
0,1,1,3,7,0.278,1.200291,0.1256108,-0.1256505,4.996843,0.1492637,0.873109,0.3384373,-0.04192824,-0.04643563,0.998041,0.02087726,-0.02331653,0.1058534,0.9938891,0,0,0
0,1,1,3,8,0.32,1.200291,0.1256108,-0.1256505,4.996843,0.1501167,0.8815334,0.3360034,-0.03470135,-0.006781342,0.9993747,0.001773303,-0.01759249,0.09238198,0.9955667,0,0,0
0,1,1,3,9,0.375,1.200291,0.1256108,-0.1256505,4.996843,0.1509869,0.8896208,0.3327922,-0.02074644,0.02534718,0.9994634,-0.01353978,-0.009217919,0.08806317,0.9959803,0,0,0
0,1,1,3,10,0.417,1.200291,0.1256108,-0.1256505,4.996843,0.151678,0.892428,0.3318585,-0.02213579,0.0284532,0.99935,-0.01511322,-0.009828062,0.08446629,0.9962633,0,0,0
0,1,1,3,11,0.473,1.200291,0.1256108,-0.1256505,4.996843,0.1532405,0.8942538,0.3318125,-0.011531,0.03386718,0.9993598,-0.01736775,-0.004295468,0.08558863,0.9961699,0,0,0
0,1,1,3,12,0.528,1.200291,0.1256108,-0.1256505,4.996843,0.1547478,0.8948575,0.3324234,-0.003876086,0.03903471,0.9992303,-0.01961303,-0.0004002451,0.07847381,0.9967231,0,0,0
0,1,1,3,13,0.57,1.200291,0.1256108,-0.1256505,4.996843,0.1549101,0.8950498,0.33246,-0.006315273,0.03891272,0.9992226,-0.01965005,-0.001596063,0.07974371,0.9966204,0,0,0
0,1,1,3,14,0.626,1.200291,0.1256108,-0.1256505,4.996843,0.1555355,0.895543,0.3324612,-0.007405112,0.03932649,0.999199,-0.01989624,-0.002156853,0.07804054,0.9967492,0,0,0
0,1,1,3,15,0.668,1.200291,0.1256108,-0.1256505,4.996843,0.1555745,0.8958209,0.3323076,-0.01013367,0.03823147,0.9992175,-0.01945599,-0.003563911,0.07783913,0.9967697,0,0,0
0,1,1,3,16,0.71,1.200291,0.1256108,-0.1256505,4.996843,0.1559807,0.8964536,0.3322519,-0.007908525,0.03759577,0.9992617,-0.01904354,-0.002544909,0.07440202,0.9970432,1,1,0
0,1,1,4,1,0.0,1.200291,-0.1256108,0.1256505,4.996843,0.1495268,0.8570765,0.3430351,-0.02564808,-0.1893021,0.9815838,0.09275041,-0.0246055,0.1237503,0.9876628,0,0,0
0,1,1,4,2,0.013,1.200291,-0.1256108,0.1256505,4.996843,0.149565,0.8554824,0.3436372,-0.02291093,-0.1979092,0.9799526,0.09729226,-0.0236205,0.1219935,0.9874684,0,0,0
0,1,1,4,3,0.068,1.200291,-0.1256108,0.1256505,4.996843,0.1494315,0.8526149,0.3448168,-0.01345578,-0.1988805,0.9799314,0.0983492,-0.01901978,0.1225444,0.9873948,0,0,0
0,1,1,4,4,0.11,1.200291,-0.1256108,0.1256505,4.996843,0.1487751,0.8528967,0.3443052,-0.03144917,-0.2032858,0.9786143,0.09968297,-0.02749875,0.1148034,0.9879915,0,0,0
0,1,1,4,5,0.166,1.200291,-0.1256108,0.1256505,4.996843,0.1488843,0.8564855,0.3435248,-0.02756066,-0.1798187,0.9833136,0.08809883,-0.02412033,0.114418,0.9892246,0,0,0
0,1,1,4,6,0.208,1.200291,-0.1256108,0.1256505,4.996843,0.1477662,0.8625508,0.3414417,-0.04034152,-0.1375111,0.9896784,0.0663774,-0.0274747,0.1066023,0.9917032,0,0,0
0,1,1,4,7,0.263,1.200291,-0.1256108,0.1256505,4.996843,0.1456546,0.8752926,0.3364566,-0.07211804,-0.04716509,0.9962803,0.02047277,-0.03795673,0.08435549,0.9955021,0,0,0
0,1,1,4,8,0.319,1.200291,-0.1256108,0.1256505,4.996843,0.1451479,0.8859183,0.332679,-0.05503394,0.01792567,0.9983236,-0.01109746,-0.0267407,0.07837562,0.9965034,0,0,0
0,1,1,4,9,0.361,1.200291,-0.1256108,0.1256505,4.996843,0.1449323,0.8909075,0.3303145,-0.05364873,0.03284645,0.9980195,-0.01832877,-0.02557939,0.07226615,0.9968889,0,0,0
0,1,1,4,10,0.416,1.200291,-0.1256108,0.1256505,4.996843,0.1446484,0.8942901,0.3282789,-0.06264065,0.04129827,0.9971814,-0.02279663,-0.02982699,0.06960455,0.996868,0,0,0
0,1,1,4,11,0.458,1.200291,-0.1256108,0.1256505,4.996843,0.1449433,0.8959901,0.3274984,-0.06237982,0.04965996,0.9968163,-0.02706087,-0.02931863,0.07289852,0.9965409,0,0,0
0,1,1,4,12,0.514,1.200291,-0.1256108,0.1256505,4.996843,0.1457414,0.8980359,0.3269427,-0.06247261,0.05904086,0.9962988,-0.03143896,-0.02936289,0.06226773,0.9971319,0,0,0
0,1,1,4,13,0.57,1.200291,-0.1256108,0.1256505,4.996843,0.1459979,0.8992677,0.3264898,-0.05988953,0.06726999,0.9959357,-0.03545047,-0.02784592,0.06149147,0.9970891,0,0,0
0,1,1,4,14,0.611,1.200291,-0.1256108,0.1256505,4.996843,0.1465521,0.9008654,0.325904,-0.05886775,0.07797202,0.995216,-0.04070444,-0.02711332,0.05896748,0.9970611,0,0,0
0,1,1,4,15,0.667,1.200291,-0.1256108,0.1256505,4.996843,0.1469831,0.9017262,0.3257526,-0.05914917,0.07811759,0.9951879,-0.04065978,-0.02743751,0.05437165,0.9973152,0,0,0
0,1,1,4,16,0.709,1.200291,-0.1256108,0.1256505,4.996843,0.1472552,0.9023343,0.3256041,-0.05756243,0.07974492,0.9951519,-0.04148873,-0.0265091,0.0565636,0.9971843,0,0,0
0,1,1,4,17,0.764,1.200291,-0.1256108,0.1256505,4.996843,0.1479577,0.9038837,0.3249157,-0.05954574,0.08737187,0.9943945,-0.04523123,-0.02751138,0.05166484,0.9972602,0,0,0
0,1,1,4,18,0.82,1.200291,-0.1256108,0.1256505,4.996843,0.1483437,0.9045905,0.3247029,-0.05362421,0.09185092,0.9943278,-0.04731129,-0.02444836,0.0513783,0.9972583,0,0,0
0,1,1,4,19,0.835,1.200291,-0.1256108,0.1256505,4.996843,0.1483704,0.9045956,0.3247587,-0.05271406,0.09233338,0.9943318,-0.04749346,-0.02405119,0.04990056,0.9973344,1,1,0
0,1,1,5,1,0.0,1.200291,-0.2511423,-0.1256505,4.992108,0.1465223,0.8602056,0.3403538,-0.02551143,-0.1818229,0.9830003,0.08859876,-0.02549727,0.1397499,0.9858854,0,0,0
0,1,1,5,2,0.041,1.200291,-0.2511423,-0.1256505,4.992108,0.1470218,0.8564403,0.3417911,-0.02108075,-0.1859117,0.9823403,0.0909651,-0.0235627,0.1394683,0.985758,0,0,0
0,1,1,5,3,0.082,1.200291,-0.2511423,-0.1256505,4.992108,0.1478896,0.8551066,0.3429092,-0.01226242,-0.1916345,0.9813898,0.09450683,-0.01932818,0.136756,0.9858969,0,0,0
0,1,1,5,4,0.138,1.200291,-0.2511423,-0.1256505,4.992108,0.1477331,0.8556291,0.3424866,-0.03122248,-0.1937296,0.980558,0.09447588,-0.02820121,0.1292891,0.9866931,0,0,0
0,1,1,5,5,0.194,1.200291,-0.2511423,-0.1256505,4.992108,0.1484028,0.8609259,0.3415826,-0.02054965,-0.1594799,0.9869873,0.07797226,-0.02065648,0.1300258,0.9882241,0,0,0
0,1,1,5,6,0.236,1.200291,-0.2511423,-0.1256505,4.992108,0.1468816,0.8707092,0.3382817,-0.04215613,-0.07854707,0.9960187,0.03666878,-0.02541768,0.1131964,0.9925703,0,0,0
0,1,1,5,7,0.291,1.200291,-0.2511423,-0.1256505,4.992108,0.1441581,0.8825485,0.3329085,-0.08193745,-0.001114698,0.9966369,-0.003211122,-0.04088109,0.09178334,0.9949342,0,0,0
0,1,1,5,8,0.333,1.200291,-0.2511423,-0.1256505,4.992108,0.1435404,0.8887585,0.3302427,-0.08103585,0.009363351,0.9966672,-0.007891491,-0.04005149,0.07935607,0.9960101,0,0,0
0,1,1,5,9,0.389,1.200291,-0.2511423,-0.1256505,4.992108,0.14251,0.8938137,0.3271112,-0.08225052,0.03344563,0.9960503,-0.01993964,-0.03971462,0.07893447,0.9958887,0,0,0
0,1,1,5,10,0.445,1.200291,-0.2511423,-0.1256505,4.992108,0.1420387,0.8960992,0.3257014,-0.0874453,0.03542515,0.9955392,-0.02124254,-0.04217979,0.08145141,0.9955577,0,0,0
0,1,1,5,11,0.486,1.200291,-0.2511423,-0.1256505,4.992108,0.1419681,0.896499,0.3256283,-0.08581511,0.03661833,0.9956379,-0.02165863,-0.04137565,0.07875399,0.9957995,0,0,0
0,1,1,5,12,0.542,1.200291,-0.2511423,-0.1256505,4.992108,0.1418101,0.8964463,0.325594,-0.08814888,0.03510228,0.9954886,-0.0210022,-0.04259806,0.07891855,0.995749,0,0,0
0,1,1,5,13,0.584,1.200291,-0.2511423,-0.1256505,4.992108,0.1417472,0.8958387,0.3257267,-0.08858774,0.03321924,0.9955143,-0.02014797,-0.04285926,0.08050242,0.9956287,0,0,0
