manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
1,0,1,1,1,1,1,0.0,1.243078,-0.1256108,-0.1256505,4.996843,0.05508032,0.8171763,0.2219275,-0.04142494,0.07984132,0.9959465,-0.04101411,-0.01856382,0.05349568,0.9975528,-0.1435708,1.200051,4.997938,-1,0,0,0
1,0,1,1,1,1,2,0.056,1.243078,-0.1256108,-0.1256505,4.996843,0.05607664,0.7943265,0.2233965,-0.04464808,-0.2032106,0.9781166,0.1007069,-0.02828143,0.0571536,0.9928705,-0.1532642,-0.1584642,4.809479,-1,0,0,0
1,0,1,1,1,1,3,0.097,1.243078,-0.1256108,-0.1256505,4.996843,0.05524281,0.7902542,0.2245434,-0.03320866,-0.2090232,0.9773467,0.1036815,-0.02401727,0.06961638,0.9918805,-0.1002991,-0.1887636,4.802217,-1,0,0,0
1,0,1,1,1,1,4,0.153,1.243078,-0.1256108,-0.1256505,4.996843,0.05515028,0.7891196,0.2257671,-0.02277473,-0.2159494,0.9761389,0.1076638,-0.0184131,0.06388151,0.991962,-0.05142008,-0.2213775,4.793437,-1,0,0,0
1,0,1,1,1,1,5,0.208,1.243078,-0.1256108,-0.1256505,4.996843,0.0536562,0.7893486,0.2249575,-0.03135882,-0.2098555,0.9772294,0.1042425,-0.02277712,0.06635672,0.9920743,-0.09318782,-0.1933424,4.801033,-1,0,0,0
1,0,1,1,1,1,6,0.25,1.243078,-0.1256108,-0.1256505,4.996843,0.0526132,0.7894757,0.2243229,-0.03509518,-0.2082892,0.9774374,0.1032514,-0.02490832,0.0693408,0.9919227,-0.1117752,-0.1861665,4.802712,-1,0,0,0
1,0,1,1,1,1,7,0.306,1.243078,-0.1256108,-0.1256505,4.996843,0.05020067,0.7955651,0.2222897,-0.05400077,-0.1412719,0.9884969,0.06912825,-0.03119011,0.05853284,0.9954006,-0.2042396,0.1299216,4.879879,-1,0,0,0
1,0,1,1,1,1,8,0.348,1.243078,-0.1256108,-0.1256505,4.996843,0.04854518,0.8061816,0.217611,-0.08704636,-0.05351609,0.9947658,0.02551858,-0.0443386,0.02894967,0.9982709,-0.365066,0.5518935,4.944359,42,0,0,0
1,0,1,1,1,1,9,0.404,1.243078,-0.1256108,-0.1256505,4.996843,0.04942393,0.8180615,0.2123823,-0.08462097,0.01432049,0.9963103,-0.00671851,-0.042423,-0.01056765,0.9990213,-0.3552983,0.886553,4.977501,35,0,0,0
1,0,1,1,1,1,10,0.459,1.243078,-0.1256108,-0.1256505,4.996843,0.04932782,0.8239195,0.2091644,-0.06360588,0.0473619,0.9968506,-0.02339354,-0.03205365,-0.009574804,0.9991665,-0.2558008,1.051123,4.991233,29,0,0,0
1,0,1,1,1,1,11,0.501,1.243078,-0.1256108,-0.1256505,4.996843,0.04944311,0.8261877,0.2075496,-0.04476162,0.06860524,0.9966392,-0.03430117,-0.02244603,-0.001350697,0.9991586,-0.1656661,1.155881,4.99706,23,0,0,0
1,0,1,1,1,1,12,0.557,1.243078,-0.1256108,-0.1256505,4.996843,0.05016837,0.8290138,0.2061012,-0.03933765,0.08199642,0.995856,-0.04095986,-0.01985696,-0.00408663,0.9989551,-0.1391184,1.223568,4.998009,23,0,0,0
