manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
1,0,0,4,1,1,1,0.0,1.245384,1.511321,1.039559,4.651369,0.01678319,0.9100588,0.1907399,0.007778149,0.06397155,0.9979214,-0.03213084,0.002627513,-0.0393692,0.9987046,0.05426569,1.218334,4.999672,-1,0,0,0
1,0,0,4,1,1,2,0.022,1.245384,1.511321,1.039559,4.651369,0.01664087,0.9097518,0.1907807,0.005880441,0.06191513,0.9980641,-0.03106429,0.001721129,-0.03931381,0.9987425,0.04497483,1.20808,4.999791,-1,0,0,0
1,0,0,4,1,1,3,0.076,1.245384,1.511321,1.039559,4.651369,0.01675919,0.9078582,0.1910612,0.01607926,0.04564065,0.9988285,-0.0231452,0.007074298,-0.04206773,0.9988216,0.09415131,1.127534,4.998588,-1,0,0,0
1,0,0,4,1,1,4,0.12,1.245384,1.511321,1.039559,4.651369,0.01614789,0.9059104,0.1912863,0.009948087,0.03791719,0.9992313,-0.0191535,0.004178588,-0.04176287,0.9989352,0.0640057,1.088321,4.998342,-1,0,0,0
1,0,0,4,1,1,5,0.174,1.245384,1.511321,1.039559,4.651369,0.01403693,0.9044318,0.1909402,-0.004126477,0.03509526,0.9993755,-0.01746868,-0.002668145,-0.03451322,0.999248,-0.005813297,1.073256,4.998391,-1,0,0,0
1,0,0,4,1,1,6,0.216,1.245384,1.511321,1.039559,4.651369,0.01461958,0.9054071,0.1910426,0.002516367,0.03649636,0.9993306,-0.01828678,0.0005336114,-0.03965056,0.9990461,0.02672504,1.08098,4.998512,-1,0,0,0
1,0,0,4,1,1,7,0.271,1.245384,1.511321,1.039559,4.651369,0.01383173,0.9077446,0.1901379,-0.005197445,0.05103055,0.9986836,-0.02540069,-0.003608406,-0.03959205,0.9988865,-0.01119903,1.153506,4.999771,-1,0,0,0
1,0,0,4,1,1,8,0.313,1.245384,1.511321,1.039559,4.651369,0.0138917,0.9076403,0.19007,-0.000715769,0.05039215,0.9987292,-0.02517629,-0.001236323,-0.03484606,0.9990748,0.01044471,1.150318,4.999742,-1,0,0,0
1,0,0,4,1,1,9,0.369,1.245384,1.511321,1.039559,4.651369,0.01953994,0.9095998,0.1913154,0.02391037,0.04848742,0.9985375,-0.02480375,0.01076999,-0.04845182,0.9984594,0.1346346,1.142998,4.997862,-1,0,0,0
1,0,0,4,1,1,10,0.423,1.245384,1.511321,1.039559,4.651369,0.03437188,0.9198306,0.1932074,0.09327026,0.08273569,0.9921973,-0.04414381,0.04418913,-0.05911868,0.996295,0.4838893,1.318576,4.975117,-1,0,0,0
1,0,0,4,1,1,11,0.464,1.245384,1.511321,1.039559,4.651369,0.0459321,0.9304455,0.1931721,0.1454122,0.1161319,0.9825318,-0.06319044,0.06885555,-0.06825745,0.9932808,0.7477408,1.490937,4.935204,-1,0,0,0
1,0,0,4,1,1,12,0.519,1.245384,1.511321,1.039559,4.651369,0.06476243,0.9493426,0.1917189,0.2170942,0.1677128,0.9616354,-0.09350076,0.102176,-0.08242596,0.9869264,1.11456,1.760347,4.841877,10,0,0,0
1,0,0,4,1,1,13,0.575,1.245384,1.511321,1.039559,4.651369,0.07862729,0.9652915,0.1896776,0.2654492,0.2092333,0.9411473,-0.117365,0.1251073,-0.08458121,0.9815394,1.363999,1.978452,4.746949,6,0,0,0
1,0,0,4,1,1,14,0.617,1.245384,1.511321,1.039559,4.651369,0.08546605,0.9733889,0.1883061,0.2837191,0.2191792,0.9335223,-0.1241228,0.1335379,-0.08946283,0.9791617,1.459369,2.034759,4.708866,6,0,0,0
1,0,0,4,1,1,15,0.671,1.245384,1.511321,1.039559,4.651369,0.09011243,0.9805691,0.1864969,0.2902267,0.2308871,0.928687,-0.1315689,0.1354478,-0.09691986,0.9772155,1.496091,2.099082,4.685442,6,0,0,0
1,0,0,4,1,1,16,0.713,1.245384,1.511321,1.039559,4.651369,0.09090301,0.9840052,0.1850044,0.2926273,0.2451893,0.9242573,-0.139034,0.136165,-0.09636502,0.9761365,1.509718,2.172815,4.666303,6,0,0,0
1,0,0,4,1,1,17,0.768,1.245384,1.511321,1.039559,4.651369,0.09007852,0.9860545,0.1833734,0.2866722,0.2531661,0.923973,-0.1426026,0.1329588,-0.09496001,0.9762014,1.481053,2.214453,4.666623,6,0,0,0
1,0,0,4,1,1,18,0.824,1.245384,1.511321,1.039559,4.651369,0.08952242,0.9852861,0.1834472,0.2851642,0.2491872,0.9255199,-0.1404313,0.1323597,-0.09483931,0.9766092,1.472974,2.194198,4.673534,6,0,0,0
1,0,0,4,1,1,19,0.866,1.245384,1.511321,1.039559,4.651369,0.08897257,0.9842272,0.1834531,0.2805523,0.2422088,0.9287763,-0.1367295,0.1300651,-0.09627205,0.9773024,1.449692,2.158975,4.688151,6,0,0,0
1,0,0,4,1,1,20,0.921,1.245384,1.511321,1.039559,4.651369,0.09034807,0.9827868,0.183876,0.3003432,0.2365723,0.9240279,-0.1356519,0.1399451,-0.1004975,0.9756609,1.546276,2.129582,4.663144,6,0,0,0
1,0,0,4,1,1,21,0.943,1.245384,1.511321,1.039559,4.651369,0.09036956,0.9828918,0.1837029,0.3016017,0.2452121,0.9213617,-0.1398777,0.1405467,-0.09821683,0.9752099,1.553098,2.172138,4.652186,6,1,1,0
