manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
0,1,1,4,1,1,1,0.0,1.264732,0.0,0.1256505,4.998421,0.1350394,0.7859706,0.2253365,0.03041593,0.02602397,0.9991985,-0.01298985,0.01523215,0.001625037,0.9997983,0.2798728,0.9098906,4.983283,-1,0,0,0
0,1,1,4,1,1,2,0.052,1.264732,0.0,0.1256505,4.998421,0.1320243,0.7509366,0.2286272,-0.03618281,-0.1543904,0.9873472,0.07733288,-0.01860226,0.00583969,0.9968147,-0.03770804,0.02669644,4.86024,-1,0,0,0
0,1,1,4,1,1,3,0.104,1.264732,0.0,0.1256505,4.998421,0.1309252,0.7570835,0.2267198,-0.05248294,-0.09215713,0.9943604,0.04597758,-0.02656806,0.006276623,0.9985694,-0.1168377,0.3220255,4.920925,-1,0,0,0
0,1,1,4,1,1,4,0.147,1.264732,0.0,0.1256505,4.998421,0.1311854,0.7595633,0.2272455,-0.04520965,-0.09052375,0.9948676,0.04526497,-0.02274387,0.002425179,0.9987131,-0.08222313,0.3322531,4.923439,-1,0,0,0
0,1,1,4,1,1,5,0.202,1.264732,0.0,0.1256505,4.998421,0.1323606,0.7660731,0.2262417,-0.03671534,-0.02990378,0.9988782,0.01514143,-0.01821029,-0.01013249,0.9996682,-0.04187703,0.6241606,4.966554,-1,0,0,0
0,1,1,4,1,1,6,0.257,1.264732,0.0,0.1256505,4.998421,0.132568,0.7714817,0.2249115,-0.02868048,0.02187403,0.9993493,-0.01075117,-0.01448375,-0.01301488,0.9997526,-0.00417091,0.8757697,4.989475,-1,0,0,0
0,1,1,4,1,1,7,0.299,1.264732,0.0,0.1256505,4.998421,0.1323639,0.7756757,0.2234118,-0.0242705,0.05147256,0.9983795,-0.02551829,-0.01261324,-0.01844686,0.9994246,0.01632342,1.021773,4.996796,-1,0,0,0
0,1,1,4,1,1,8,0.355,1.264732,0.0,0.1256505,4.998421,0.1320817,0.7805572,0.2212877,-0.02691102,0.090103,0.9955688,-0.04469062,-0.01477653,-0.0290531,0.998469,0.002909735,1.213048,4.999982,-1,0,0,0
0,1,1,4,1,1,9,0.397,1.264732,0.0,0.1256505,4.998421,0.1315376,0.7824176,0.2207627,-0.02658356,0.09824435,0.9948072,-0.04879379,-0.01468219,-0.0279868,0.9983087,0.003833205,1.254372,4.999703,-1,0,0,0
0,1,1,4,1,1,10,0.452,1.264732,0.0,0.1256505,4.998421,0.1311596,0.7836428,0.2206309,-0.02461284,0.1056799,0.9940956,-0.05257926,-0.01369832,-0.02599929,0.9981843,0.01284828,1.291635,4.999144,-1,0,0,0
0,1,1,4,1,1,11,0.508,1.264732,0.0,0.1256505,4.998421,0.1311305,0.7835715,0.2207287,-0.02606729,0.1017686,0.9944665,-0.05057363,-0.01445863,-0.02767106,0.9982322,0.00586848,1.272603,4.999469,-1,0,0,0
0,1,1,4,1,1,12,0.549,1.264732,0.0,0.1256505,4.998421,0.1311707,0.7838705,0.2207114,-0.02312315,0.1034181,0.9943691,-0.0514437,-0.01299889,-0.02748797,0.9982129,0.02004882,1.280862,4.999306,7,0,0,0
0,1,1,4,1,1,13,0.604,1.264732,0.0,0.1256505,4.998421,0.1309468,0.7841004,0.2204624,-0.02600323,0.1022319,0.9944206,-0.05079904,-0.01446109,-0.02821946,0.9982054,0.00598105,1.275404,4.999427,7,0,0,0
0,1,1,4,1,1,14,0.647,1.264732,0.0,0.1256505,4.998421,0.130758,0.7840066,0.2204704,-0.02625879,0.09994996,0.9946459,-0.04966367,-0.01451086,-0.02731601,0.998287,0.004588753,1.26425,4.999585,7,0,0,0
0,1,1,4,1,1,15,0.702,1.264732,0.0,0.1256505,4.998421,0.130782,0.7842906,0.2203893,-0.02444547,0.1020849,0.9944753,-0.05075464,-0.01365001,-0.02764647,0.9982351,0.01330733,1.274868,4.999422,7,0,0,0
0,1,1,4,1,1,16,0.703,1.264732,0.0,0.1256505,4.998421,0.1307891,0.7843603,0.2204268,-0.0245751,0.1010055,0.9945823,-0.05020179,-0.01373434,-0.02833858,0.9982425,0.01270321,1.269702,4.999498,7,1,1,0
0,1,1,4,1,2,1,0.0,1.264732,0.2509043,-0.2512215,4.987378,0.1307891,0.7843603,0.2204268,-0.0245751,0.1010055,0.9945823,-0.05020179,-0.01373434,-0.02833858,0.9982425,0.01270321,1.269702,4.999498,-1,0,0,0
0,1,1,4,1,2,2,0.047,1.264732,0.2509043,-0.2512215,4.987378,0.1294509,0.7606186,0.2257016,-0.02965345,-0.1273609,0.9914131,0.06362227,-0.01567383,0.01276507,0.9977694,-0.01008683,0.1613073,4.890912,-1,0,0,0
0,1,1,4,1,2,3,0.106,1.264732,0.2509043,-0.2512215,4.987378,0.1290794,0.7701105,0.2227829,-0.02806541,-0.02899718,0.9991854,0.01447027,-0.0140678,0.002224931,0.9997939,-0.004196584,0.6324098,4.967678,-1,0,0,0
0,1,1,4,1,2,4,0.146,1.264732,0.2509043,-0.2512215,4.987378,0.1287156,0.7719819,0.2230992,-0.02967699,-0.04641875,0.9984812,0.02316405,-0.01492849,0.003635893,0.9996136,-0.01200981,0.5518687,4.9578,-1,0,0,0
0,1,1,4,1,2,5,0.203,1.264732,0.2509043,-0.2512215,4.987378,0.1300493,0.7739302,0.2237985,-0.01556883,-0.02135565,0.9996507,0.01064075,-0.007836971,0.00486589,0.9999008,0.05610291,0.6724985,4.97178,-1,0,0,0
0,1,1,4,1,2,6,0.257,1.264732,0.2509043,-0.2512215,4.987378,0.1328644,0.7765174,0.2240063,0.006911966,-0.003979134,0.9999682,0.001961655,0.003471939,-0.008062117,0.9999595,0.1657223,0.7576015,4.977632,-1,0,0,0
0,1,1,4,1,2,7,0.3,1.264732,0.2509043,-0.2512215,4.987378,0.1350156,0.7773303,0.2247313,0.02632131,0.0009094581,0.9996531,-0.0006433671,0.01315392,-0.01433155,0.9998106,0.26011,0.7816526,4.975673,-1,0,0,0
0,1,1,4,1,2,8,0.355,1.264732,0.2509043,-0.2512215,4.987378,0.1371001,0.7783982,0.2250639,0.04340604,0.01047085,0.9990026,-0.005613674,0.02161403,-0.01739614,0.9995993,0.343452,0.8281765,4.974312,24,0,0,0
0,1,1,4,1,2,9,0.398,1.264732,0.2509043,-0.2512215,4.987378,0.1368088,0.7786318,0.2248581,0.03524609,0.008292451,0.9993442,-0.004447939,0.01755239,-0.01711069,0.9996896,0.3043811,0.818057,4.97609,24,0,0,0
0,1,1,4,1,2,10,0.399,1.264732,0.2509043,-0.2512215,4.987378,0.1367346,0.778574,0.2248564,0.03487091,0.007959237,0.9993601,-0.004269883,0.0173696,-0.01663769,0.9997016,0.30252,0.8164143,4.976077,24,1,1,0
0,1,1,4,1,3,1,0.0,1.264732,0.1256505,0.0,4.998421,0.1367346,0.778574,0.2248564,0.03487091,0.007959237,0.9993601,-0.004269883,0.0173696,-0.01663769,0.9997016,0.30252,0.8164143,4.976077,-1,0,0,0
0,1,1,4,1,3,2,0.021,1.264732,0.1256505,0.0,4.998421,0.1292887,0.7637833,0.2274018,-0.03597449,-0.1588186,0.9866521,0.07925878,-0.01979821,0.0219534,0.9964156,-0.03955591,0.01837522,4.858209,-1,0,0,0
0,1,1,4,1,3,3,0.076,1.264732,0.1256505,0.0,4.998421,0.12985,0.7573678,0.2280087,-0.01781744,-0.1758779,0.9842507,0.08804097,-0.01110963,0.02446302,0.9957545,0.04641916,-0.0661869,4.836798,-1,0,0,0
0,1,1,4,1,3,4,0.119,1.264732,0.1256505,0.0,4.998421,0.1306134,0.7556961,0.2278001,-0.01041901,-0.1694836,0.9854779,0.08493061,-0.006915368,0.01977326,0.9961666,0.08181283,-0.03813195,4.843587,-1,0,0,0
0,1,1,4,1,3,5,0.174,1.264732,0.1256505,0.0,4.998421,0.1302312,0.7567799,0.2267746,-0.02142429,-0.1493195,0.9885569,0.07475402,-0.01154985,0.01075458,0.9970771,0.02966174,0.05584699,4.867241,-1,0,0,0
0,1,1,4,1,3,6,0.216,1.264732,0.1256505,0.0,4.998421,0.1298456,0.7572247,0.2268434,-0.01520598,-0.1449948,0.9893156,0.07254317,-0.008927844,0.01791401,0.9971644,0.05845197,0.07645953,4.871779,-1,0,0,0
0,1,1,4,1,3,7,0.272,1.264732,0.1256505,0.0,4.998421,0.1305935,0.7641024,0.225623,-0.01000902,-0.07689593,0.9969889,0.03846226,-0.005119841,0.002897776,0.9992427,0.08331466,0.400875,4.935023,-1,0,0,0
0,1,1,4,1,3,8,0.314,1.264732,0.1256505,0.0,4.998421,0.1311476,0.7710658,0.2241278,-0.004273227,-0.01919902,0.9998065,0.009618353,-0.002052402,-0.008773797,0.9999132,0.1108565,0.6799006,4.97164,-1,0,0,0
0,1,1,4,1,3,9,0.368,1.264732,0.1256505,0.0,4.998421,0.1314388,0.7779047,0.2226959,-0.0002452868,0.02910994,0.9995762,-0.01455272,-0.0003543426,-0.01591571,0.9997674,0.1302689,0.9167474,4.99027,-1,0,0,0
0,1,1,4,1,3,10,0.426,1.264732,0.1256505,0.0,4.998421,0.1317629,0.7817308,0.2221465,0.002760943,0.04840373,0.9988241,-0.02423319,0.0008567748,-0.02162938,0.999472,0.1449543,1.012998,4.994399,-1,0,0,0
0,1,1,4,1,3,11,0.467,1.264732,0.1256505,0.0,4.998421,0.1324125,0.7835105,0.2219945,0.0100121,0.05896774,0.9982097,-0.02960799,0.004304348,-0.02380598,0.9992688,0.1802854,1.065465,4.994937,-1,0,0,0
0,1,1,4,1,3,12,0.522,1.264732,0.1256505,0.0,4.998421,0.1328041,0.7856764,0.2213144,0.008134125,0.07038742,0.9974866,-0.03532675,0.002956099,-0.03154247,0.9988735,0.1717436,1.122633,4.996451,-1,0,0,0
0,1,1,4,1,3,13,0.577,1.264732,0.1256505,0.0,4.998421,0.1321717,0.7865035,0.2206926,0.0072291,0.07810958,0.9969186,-0.03917107,0.002518484,-0.02805639,0.9988354,0.1668073,1.160737,4.997062,-1,0,0,0
