manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
1,0,0,4,1,1,1,0.0,1.283555,1.039559,0.0,4.890738,0.1404032,0.7426034,-0.06846351,-0.02127797,0.07912159,0.9966379,0.0393578,0.0114906,0.02132575,-0.9989315,0.03220148,1.144949,4.999594,-1,0,0,0
1,0,0,4,1,1,2,0.038,1.283555,1.039559,0.0,4.890738,0.1404342,0.7438368,-0.06899472,-0.01983667,0.09189814,0.9955708,0.04578435,0.01088059,0.02070287,-0.9986776,0.03943828,1.211725,4.999831,-1,0,0,0
1,0,0,4,1,1,3,0.075,1.283555,1.039559,0.0,4.890738,0.1402273,0.7439515,-0.06900647,-0.0221783,0.08952986,0.9957372,0.0445593,0.01207809,0.02183998,-0.998695,0.02732576,1.199715,4.999925,-1,0,0,0
1,0,0,4,1,1,4,0.133,1.283555,1.039559,0.0,4.890738,0.1400617,0.7437862,-0.06895852,-0.02395743,0.0858621,0.9960189,0.0427047,0.01291648,0.02158749,-0.998771,0.01813877,1.180751,4.999929,-1,0,0,0
1,0,0,4,1,1,5,0.174,1.283555,1.039559,0.0,4.890738,0.1401727,0.7438488,-0.06903844,-0.02321839,0.08713132,0.9959262,0.04334437,0.01257595,0.02193864,-0.9987401,0.02199791,1.187322,4.999936,-1,0,0,0
1,0,0,4,1,1,6,0.229,1.283555,1.039559,0.0,4.890738,0.1402684,0.7439238,-0.06900738,-0.02398241,0.08671314,0.9959446,0.04311089,0.01300552,0.02314125,-0.9987176,0.01820765,1.185258,4.999945,-1,0,0,0
1,0,0,4,1,1,7,0.285,1.283555,1.039559,0.0,4.890738,0.1402148,0.7440736,-0.06908592,-0.02330489,0.08690975,0.9959435,0.04322612,0.0126381,0.02243212,-0.9987335,0.02160067,1.186415,4.999934,-1,0,0,0
1,0,0,4,1,1,8,0.326,1.283555,1.039559,0.0,4.890738,0.1401615,0.7441095,-0.06913929,-0.02418656,0.08670284,0.9959406,0.04310731,0.01309476,0.02284443,-0.9987234,0.01705794,1.185405,4.999949,-1,0,0,0
1,0,0,4,1,1,9,0.38,1.283555,1.039559,0.0,4.890738,0.1401427,0.7439746,-0.06910428,-0.02340989,0.08534849,0.9960761,0.04243295,0.01270399,0.02316973,-0.9987499,0.02101021,1.178311,4.999909,-1,0,0,0
1,0,0,4,1,1,10,0.436,1.283555,1.039559,0.0,4.890738,0.1412366,0.7444096,-0.06906169,-0.007103955,0.08484689,0.9963687,0.04237044,0.004517464,0.02266256,-0.9988347,0.1051033,1.175972,4.998837,-1,0,0,0
1,0,0,4,1,1,11,0.478,1.283555,1.039559,0.0,4.890738,0.1456825,0.7458156,-0.06919066,0.05114537,0.09062701,0.9945707,0.0458435,-0.02475921,0.01857147,-0.9984691,0.4055162,1.206228,4.983525,-1,0,0,0
1,0,0,4,1,1,12,0.533,1.283555,1.039559,0.0,4.890738,0.1524158,0.746385,-0.06917156,0.1122743,0.08111941,0.9903606,0.04242059,-0.05495629,0.03161216,-0.9970863,0.7211456,1.157298,4.947538,-1,0,0,0
1,0,0,4,1,1,13,0.576,1.283555,1.039559,0.0,4.890738,0.1550144,0.7477048,-0.07000894,0.1516116,0.08894039,0.9844306,0.04725325,-0.07451074,0.03449875,-0.9955025,0.9226205,1.198008,4.91414,-1,0,0,0
1,0,0,4,1,1,14,0.629,1.283555,1.039559,0.0,4.890738,0.1564184,0.7486984,-0.06970672,0.1517057,0.09906807,0.9834484,0.05228548,-0.07444455,0.03364801,-0.9952849,0.9251087,1.250675,4.91341,-1,0,0,0
1,0,0,4,1,1,15,0.685,1.283555,1.039559,0.0,4.890738,0.1572249,0.7495347,-0.07064904,0.1581188,0.1158355,0.9806021,0.06056231,-0.07766037,0.02991117,-0.9946891,0.9595544,1.337309,4.90514,-1,0,0,0
1,0,0,4,1,1,16,0.727,1.283555,1.039559,0.0,4.890738,0.1578856,0.7497206,-0.07106579,0.1706392,0.1129361,0.97884,0.05904854,-0.0842216,0.02666981,-0.9943383,1.023201,1.322422,4.892655,-1,0,0,0
1,0,0,4,1,1,17,0.782,1.283555,1.039559,0.0,4.890738,0.1578568,0.7492236,-0.071018,0.1648985,0.1037304,0.9808407,0.0546415,-0.08120314,0.03064142,-0.9947268,0.9935353,1.274912,4.899722,13,0,0,0
1,0,0,4,1,1,18,0.824,1.283555,1.039559,0.0,4.890738,0.157971,0.7489049,-0.07108744,0.1701528,0.09939353,0.9803922,0.0525089,-0.08394458,0.03014049,-0.9946294,1.019798,1.252335,4.894617,13,0,0,0
1,0,0,4,1,1,19,0.879,1.283555,1.039559,0.0,4.890738,0.1579072,0.7484919,-0.07073385,0.170134,0.09055138,0.9812517,0.04808048,-0.08403821,0.03042125,-0.9948369,1.018903,1.206745,4.895078,13,0,0,0
1,0,0,4,1,1,20,0.934,1.283555,1.039559,0.0,4.890738,0.1578736,0.7483818,-0.07068382,0.1685762,0.09067138,0.9815094,0.04820247,-0.08319737,0.03148454,-0.9948686,1.011033,1.207267,4.896709,13,0,0,0
1,0,0,4,1,1,21,0.976,1.283555,1.039559,0.0,4.890738,0.1581627,0.7484121,-0.07070163,0.1717387,0.08899795,0.9811143,0.04732624,-0.08487105,0.03041426,-0.9948026,1.027096,1.198709,4.89337,13,0,0,0
1,0,0,4,1,1,22,1.027,1.283555,1.039559,0.0,4.890738,0.158884,0.7483445,-0.07077064,0.1744548,0.08707314,0.9808077,0.04662876,-0.08615042,0.03299365,-0.9946433,1.041311,1.188778,4.890352,13,0,0,0
1,0,0,4,1,1,23,1.082,1.283555,1.039559,0.0,4.890738,0.1593185,0.7484304,-0.07076208,0.1757738,0.08774231,0.9805126,0.04696885,-0.08681963,0.03274607,-0.9945773,1.048413,1.192246,4.888842,13,0,0,0
1,0,0,4,1,1,24,1.125,1.283555,1.039559,0.0,4.890738,0.1598414,0.7481526,-0.07106226,0.1778347,0.08473904,0.9804051,0.04576549,-0.08776662,0.03579653,-0.9944451,1.059087,1.176647,4.88649,13,0,0,0
