manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
1,1,0,3,1,1,1,0.0,1.340681,-0.5112213,1.039559,4.863946,0.06950592,0.6788002,0.1230255,-0.01415661,0.09149694,0.9957047,0.04633373,0.0009070967,-0.1333866,-0.98998,0.0001742318,1.126904,4.999465,-1,0,0,0
1,1,0,3,1,1,2,0.024,1.340681,-0.5112213,1.039559,4.863946,0.06956757,0.6790621,0.1223363,-0.01427861,0.09794793,0.9950891,0.0495495,0.0005434897,-0.1332271,-0.989846,-0.0004200116,1.15916,4.999833,-1,0,0,0
1,1,0,3,1,1,3,0.063,1.340681,-0.5112213,1.039559,4.863946,0.0702986,0.6802744,0.1203765,-0.01272428,0.1217534,0.9924788,0.06130358,-0.001569148,-0.1291144,-0.9897317,0.007746391,1.27881,4.999373,-1,0,0,0
1,1,0,3,1,1,4,0.117,1.340681,-0.5112213,1.039559,4.863946,0.0709464,0.6799954,0.1197169,-0.0177271,0.1204661,0.9925591,0.06098002,0.001364601,-0.1231863,-0.9905073,-0.01620563,1.272245,4.999452,-1,0,0,0
1,1,0,3,1,1,5,0.162,1.340681,-0.5112213,1.039559,4.863946,0.07130421,0.6798761,0.1201179,-0.01822942,0.1179396,0.9928535,0.05974584,0.001927748,-0.1205858,-0.9909015,-0.01828641,1.259504,4.999613,-1,0,0,0
1,1,0,3,1,1,6,0.217,1.340681,-0.5112213,1.039559,4.863946,0.07134057,0.6790211,0.1209181,-0.01743486,0.1146207,0.9932563,0.05804279,0.001695707,-0.1212401,-0.9909233,-0.01429964,1.242039,4.999803,-1,0,0,0
1,1,0,3,1,1,7,0.27,1.340681,-0.5112213,1.039559,4.863946,0.07115873,0.678415,0.1211872,-0.01914296,0.1165282,0.9930029,0.05910172,0.002354953,-0.1224738,-0.9907076,-0.0228883,1.250904,4.999689,-1,0,0,0
1,1,0,3,1,1,8,0.314,1.340681,-0.5112213,1.039559,4.863946,0.07086194,0.6783149,0.1209158,-0.02480036,0.121081,0.9923328,0.06172258,0.004892833,-0.1223796,-0.9905502,-0.05105603,1.273546,4.999198,-1,0,0,0
1,1,0,3,1,1,9,0.368,1.340681,-0.5112213,1.039559,4.863946,0.071199,0.6787452,0.1204355,-0.02683803,0.1318095,0.9909117,0.06718912,0.005456656,-0.1192725,-0.9905705,-0.06090589,1.327551,4.998002,-1,0,0,0
1,1,0,3,1,1,10,0.423,1.340681,-0.5112213,1.039559,4.863946,0.07047869,0.6801134,0.1177236,-0.0446534,0.1642619,0.9854056,0.08450167,0.01251773,-0.1176543,-0.9893737,-0.1502708,1.492162,4.989194,-1,0,0,0
1,1,0,3,1,1,11,0.464,1.340681,-0.5112213,1.039559,4.863946,0.06861958,0.6815053,0.1141783,-0.06570219,0.2031286,0.9769452,0.1054532,0.02017416,-0.1227755,-0.9866098,-0.2578903,1.690961,4.96915,-1,0,0,0
1,1,0,3,1,1,12,0.521,1.340681,-0.5112213,1.039559,4.863946,0.06644657,0.6832703,0.109052,-0.09035282,0.2574239,0.9620651,0.1348022,0.02821009,-0.1296381,-0.9819504,-0.3858426,1.971886,4.924969,2,0,0,0
1,1,0,3,1,1,13,0.561,1.340681,-0.5112213,1.039559,4.863946,0.0660532,0.6845561,0.1057669,-0.09826472,0.2897433,0.9520466,0.1518887,0.03010826,-0.1293263,-0.9794376,-0.4279476,2.141167,4.891939,2,0,0,0
1,1,0,3,1,1,14,0.616,1.340681,-0.5112213,1.039559,4.863946,0.06634214,0.6849797,0.1042065,-0.1043,0.2991717,0.9484818,0.1568854,0.03385366,-0.1210269,-0.9795884,-0.458748,2.191136,4.879262,2,0,0,0
1,1,0,3,1,1,15,0.672,1.340681,-0.5112213,1.039559,4.863946,0.0668257,0.6849784,0.1041827,-0.1042298,0.3010293,0.9479017,0.1577493,0.03412252,-0.1184356,-0.9797571,-0.458025,2.200816,4.877354,2,0,0,0
1,1,0,3,1,1,16,0.714,1.340681,-0.5112213,1.039559,4.863946,0.06667441,0.6848123,0.1043335,-0.1055151,0.2979691,0.948726,0.1562836,0.03482027,-0.1192594,-0.9798675,-0.464466,2.184726,4.880019,2,0,0,0
1,1,0,3,1,1,17,0.768,1.340681,-0.5112213,1.039559,4.863946,0.0667312,0.6849113,0.1036228,-0.1086098,0.3053632,0.9460218,0.1602553,0.03615719,-0.1179035,-0.9793414,-0.4805343,2.223582,4.870459,2,0,0,0
1,1,0,3,1,1,18,0.812,1.340681,-0.5112213,1.039559,4.863946,0.06674743,0.6846967,0.1036605,-0.109079,0.3038473,0.9464558,0.1594828,0.03656963,-0.1173728,-0.979516,-0.4827952,2.215487,4.871929,2,0,0,0
1,1,0,3,1,1,19,0.865,1.340681,-0.5112213,1.039559,4.863946,0.06677371,0.684386,0.1039404,-0.1094372,0.3016545,0.9471157,0.1583721,0.03688416,-0.1173414,-0.9796881,-0.4844205,2.203707,4.874208,2,0,0,0
1,1,0,3,1,1,20,0.921,1.340681,-0.5112213,1.039559,4.863946,0.06729653,0.6843812,0.1039075,-0.106557,0.3038678,0.9467365,0.1592396,0.03570043,-0.1148982,-0.9798809,-0.469507,2.215179,4.873292,2,0,0,0
1,1,0,3,1,1,21,0.964,1.340681,-0.5112213,1.039559,4.863946,0.06744349,0.6843036,0.1039981,-0.1072042,0.3031193,0.9469033,0.1588514,0.03625661,-0.1137448,-0.9800581,-0.4725749,2.211203,4.873822,2,0,0,0
