manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
0,0,0,3,1,1,1,0.0,1.344533,-1.033864,0.5226423,4.863946,0.09505225,0.6909776,0.08579342,-0.01770075,0.08777996,0.9959826,-0.04457605,-0.004655162,0.09468819,0.9944976,0.007726625,1.124035,4.999417,-1,0,0,0
0,0,0,3,1,1,2,0.065,1.344533,-1.033864,0.5226423,4.863946,0.09469803,0.6929462,0.0845553,-0.02347484,0.1066922,0.9940149,-0.0542843,-0.006763184,0.09235287,0.9942225,-0.02138396,1.220534,4.999912,-1,0,0,0
0,0,0,3,1,1,3,0.103,1.344533,-1.033864,0.5226423,4.863946,0.09427762,0.6927073,0.08445936,-0.02339266,0.1063879,0.9940495,-0.05414917,-0.006566442,0.09547155,0.9939366,-0.02139639,1.218783,4.999919,-1,0,0,0
0,0,0,3,1,1,4,0.16,1.344533,-1.033864,0.5226423,4.863946,0.09444417,0.6924292,0.08467993,-0.02049577,0.1039138,0.9943751,-0.05277558,-0.005214189,0.09597504,0.99397,-0.006868817,1.206087,4.999992,-1,0,0,0
0,0,0,3,1,1,5,0.215,1.344533,-1.033864,0.5226423,4.863946,0.09529911,0.6931152,0.0846013,-0.01581801,0.1058827,0.9942528,-0.05352279,-0.00298501,0.09231681,0.9942857,0.01709875,1.216574,4.999943,-1,0,0,0
0,0,0,3,1,1,6,0.259,1.344533,-1.033864,0.5226423,4.863946,0.09504659,0.6927902,0.08459218,-0.01817669,0.1033659,0.9944773,-0.05237533,-0.004263382,0.09258541,0.9943172,0.005204648,1.203697,4.999996,-1,0,0,0
0,0,0,3,1,1,7,0.312,1.344533,-1.033864,0.5226423,4.863946,0.09453703,0.6926244,0.08452462,-0.02015126,0.1032158,0.9944549,-0.05240541,-0.005123729,0.09507132,0.9940769,-0.005068272,1.202808,4.999997,-1,0,0,0
0,0,0,3,1,1,8,0.356,1.344533,-1.033864,0.5226423,4.863946,0.09410071,0.6932079,0.0839062,-0.02989987,0.1083493,0.9936631,-0.05541244,-0.009894019,0.09228782,0.9941401,-0.05381597,1.229219,4.999625,-1,0,0,0
0,0,0,3,1,1,9,0.409,1.344533,-1.033864,0.5226423,4.863946,0.09013314,0.6938184,0.08173102,-0.07267269,0.1211744,0.9899674,-0.06401083,-0.03031366,0.09754182,0.9927081,-0.2703101,1.294821,4.991787,-1,0,0,0
0,0,0,3,1,1,10,0.469,1.344533,-1.033864,0.5226423,4.863946,0.08548012,0.6945514,0.07881928,-0.1205621,0.1335029,0.9836878,-0.07271516,-0.0535592,0.09909056,0.9909717,-0.5141087,1.358499,4.970973,-1,0,0,0
0,0,0,3,1,1,11,0.506,1.344533,-1.033864,0.5226423,4.863946,0.08214994,0.696651,0.07569097,-0.1556099,0.1582941,0.9750531,-0.087065,-0.06995098,0.09922464,0.9887775,-0.6946606,1.486861,4.943192,-1,0,0,0
0,0,0,3,1,1,12,0.562,1.344533,-1.033864,0.5226423,4.863946,0.0785142,0.6973171,0.07310037,-0.1874107,0.1740427,0.9667401,-0.09739088,-0.08452801,0.1064527,0.9859198,-0.8595034,1.568426,4.911774,8,0,0,0
0,0,0,3,1,1,13,0.604,1.344533,-1.033864,0.5226423,4.863946,0.07704724,0.697606,0.07196603,-0.2006786,0.1785314,0.9632521,-0.1004921,-0.09096859,0.1068319,0.9849939,-0.9282602,1.591967,4.897417,8,0,0,0
0,0,0,3,1,1,14,0.605,1.344533,-1.033864,0.5226423,4.863946,0.07691702,0.6981034,0.07154651,-0.2043699,0.1831366,0.9616101,-0.1029028,-0.09276839,0.1052606,0.9847463,-0.9475124,1.616099,4.891737,8,1,1,0
0,0,0,3,1,2,1,0.0,1.344533,1.536621,-0.5226423,4.729233,0.09357049,0.6929371,0.08458774,-0.02962343,0.1028122,0.9942596,-0.05269409,-0.009671885,0.09870211,0.9936739,-0.05287325,1.20119,4.99972,-1,0,0,0
0,0,0,3,1,2,2,0.035,1.344533,1.536621,-0.5226423,4.729233,0.09527321,0.6930406,0.0852503,-0.01630944,0.09983642,0.9948702,-0.05053126,-0.003390763,0.09466527,0.9942201,0.01470375,1.186238,4.999959,-1,0,0,0
0,0,0,3,1,2,3,0.077,1.344533,1.536621,-0.5226423,4.729233,0.09671942,0.6927849,0.08586023,-0.007579186,0.09560653,0.9953904,-0.04800455,0.0006234819,0.0918604,0.9946139,0.05930538,1.164739,4.999524,-1,0,0,0
0,0,0,3,1,2,4,0.132,1.344533,1.536621,-0.5226423,4.729233,0.09611066,0.6931937,0.08520661,-0.01351991,0.101471,0.9947466,-0.05121039,-0.002045719,0.0922794,0.9944133,0.02931339,1.194528,4.999911,-1,0,0,0
0,0,0,3,1,2,5,0.175,1.344533,1.536621,-0.5226423,4.729233,0.09573679,0.6930684,0.08510642,-0.01400778,0.1022118,0.994664,-0.05160821,-0.002139222,0.09450262,0.9941837,0.02652169,1.198116,4.999929,-1,0,0,0
0,0,0,3,1,2,6,0.229,1.344533,1.536621,-0.5226423,4.729233,0.09592788,0.6928677,0.08525272,-0.01350537,0.1003462,0.9948609,-0.0506508,-0.002008811,0.0938848,0.9942918,0.02921087,1.188581,4.999901,-1,0,0,0
0,0,0,3,1,2,7,0.289,1.344533,1.536621,-0.5226423,4.729233,0.0980596,0.6914969,0.08679271,0.0115813,0.08629357,0.9962024,-0.04242386,0.009949781,0.09671429,0.9943579,0.1551418,1.116823,4.9969,-1,0,0,0
0,0,0,3,1,2,8,0.326,1.344533,1.536621,-0.5226423,4.729233,0.1029561,0.6899883,0.08986883,0.06376449,0.05965939,0.9961801,-0.02676301,0.03454964,0.09285147,0.9947204,0.4158365,0.9827257,4.977939,-1,0,0,0
