manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
1,1,0,1,1,1,1,0.0,1.262653,-1.016842,-1.039559,4.783864,0.08828937,0.9757413,0.02124603,-0.02826107,0.04625672,0.9985297,-0.02081593,-0.01737328,-0.1464704,0.9888434,-0.05261479,1.206368,4.999719,-1,0,0,0
1,1,0,1,1,1,2,0.041,1.262653,-1.016842,-1.039559,4.783864,0.08936043,0.9759592,0.02134039,-0.02562314,0.04565801,0.9986284,-0.02067489,-0.01607231,-0.1487918,0.9885218,-0.03837986,1.20358,4.999851,30,0,0,0
1,1,0,1,1,1,3,0.096,1.262653,-1.016842,-1.039559,4.783864,0.09097573,0.9761852,0.02176334,-0.01743548,0.04694828,0.9987451,-0.0219213,-0.0121196,-0.1488506,0.9885424,0.004068941,1.210198,4.999988,-1,0,0,0
1,1,0,1,1,1,4,0.152,1.262653,-1.016842,-1.039559,4.783864,0.09241123,0.9764718,0.021782,-0.0140925,0.04672972,0.9988081,-0.02203599,-0.01050412,-0.1512888,0.9881881,0.02217278,1.209377,4.999942,-1,0,0,0
1,1,0,1,1,1,5,0.194,1.262653,-1.016842,-1.039559,4.783864,0.09310815,0.9767662,0.02183853,-0.009900341,0.04836065,0.9987808,-0.02316114,-0.008551349,-0.1511291,0.9882057,0.04376471,1.217796,4.999777,31,0,0,0
1,1,0,1,1,1,6,0.249,1.262653,-1.016842,-1.039559,4.783864,0.09338335,0.9769197,0.02176949,-0.009591656,0.04883167,0.9987609,-0.02341757,-0.00843412,-0.1511169,0.9882025,0.04557703,1.220304,4.999751,31,0,0,0
1,1,0,1,1,1,7,0.292,1.262653,-1.016842,-1.039559,4.783864,0.09330402,0.9771439,0.02159145,-0.01066066,0.05048391,0.998668,-0.02416073,-0.009070364,-0.1504012,0.9882882,0.04016271,1.228796,4.999756,31,0,0,0
1,1,0,1,1,1,8,0.347,1.262653,-1.016842,-1.039559,4.783864,0.09285069,0.9768734,0.0216717,-0.01229679,0.04968492,0.9986892,-0.02364394,-0.009815516,-0.1502477,0.9883169,0.03155486,1.224538,4.99984,31,0,0,0
1,1,0,1,1,1,9,0.389,1.262653,-1.016842,-1.039559,4.783864,0.09214882,0.9760979,0.02181926,-0.01502275,0.04680067,0.9987913,-0.02202254,-0.01092564,-0.1493212,0.9884831,0.01727293,1.20936,4.999961,-1,0,0,0
1,1,0,1,1,1,10,0.445,1.262653,-1.016842,-1.039559,4.783864,0.08893744,0.9719659,0.02285228,-0.02398137,0.03047235,0.9992479,-0.0133401,-0.01407483,-0.1448967,0.9892567,-0.03049503,1.123725,4.999325,39,0,0,0
