manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
1,1,1,1,1,1,1,0.0,1.150747,0.1256505,0.0,4.998421,0.05121065,0.9928364,0.2807138,0.01732774,0.001505155,0.9998487,0.0001716175,-0.008695127,-0.06685936,-0.9977245,0.132893,0.9999316,4.993963,-1,0,0,0
1,1,1,1,1,1,2,0.027,1.150747,0.1256505,0.0,4.998421,0.06454497,0.8859521,0.2224799,-0.008429149,-0.1820796,0.9832476,-0.09140783,0.004558027,-0.003547771,-0.9957968,0.02478502,0.02709025,4.860418,-1,0,0,0
1,1,1,1,1,1,3,0.069,1.150747,0.1256505,0.0,4.998421,0.06549267,0.886641,0.2238521,0.002464804,-0.1819239,0.9833095,-0.09134893,-0.0007810792,-0.004976507,-0.9958062,0.07711456,0.02884459,4.860293,-1,0,0,0
1,1,1,1,1,1,4,0.125,1.150747,0.1256505,0.0,4.998421,0.06753793,0.8885868,0.2258808,0.01602131,-0.1856405,0.9824871,-0.09325057,-0.007796268,-0.002666218,-0.9956086,0.1430273,0.01388454,4.855169,-1,0,0,0
1,1,1,1,1,1,5,0.181,1.150747,0.1256505,0.0,4.998421,0.06743937,0.8881473,0.2271254,0.003563361,-0.2045646,0.9788465,-0.1028348,-0.001310818,-0.004646553,-0.9946867,0.08421033,-0.0746364,4.834067,-1,0,0,0
1,1,1,1,1,1,6,0.223,1.150747,0.1256505,0.0,4.998421,0.06616443,0.8876869,0.2273485,-0.01384331,-0.2137082,0.9767994,-0.1074052,0.008025371,-0.009837906,-0.9941343,0.001031376,-0.1178148,4.823211,-1,0,0,0
1,1,1,1,1,1,7,0.279,1.150747,0.1256505,0.0,4.998421,0.0673902,0.8947004,0.2283014,-0.01010256,-0.1729905,0.9848717,-0.08681435,0.005237509,-0.001916456,-0.9962089,0.01974959,0.07892919,4.87266,-1,0,0,0
1,1,1,1,1,1,8,0.32,1.150747,0.1256505,0.0,4.998421,0.068856,0.9050367,0.2288478,-0.005148664,-0.1114645,0.9937551,-0.0558271,0.002406905,0.003066587,-0.9984329,0.04449048,0.3775426,4.931692,45,0,0,0
1,1,1,1,1,1,9,0.375,1.150747,0.1256505,0.0,4.998421,0.07228219,0.9180733,0.2307791,0.02351395,-0.07048597,0.9972356,-0.03528561,-0.01171027,-0.001553431,-0.9993075,0.1837576,0.5839119,4.958495,46,0,0,0
1,1,1,1,1,1,10,0.431,1.150747,0.1256505,0.0,4.998421,0.07434737,0.9300139,0.2320833,0.01827299,-0.05024823,0.9985696,-0.02508759,-0.009263971,0.004944569,-0.9996302,0.1610742,0.691527,4.971469,46,0,0,0
1,1,1,1,1,1,11,0.473,1.150747,0.1256505,0.0,4.998421,0.07531126,0.9374003,0.2328527,0.02406594,-0.03162487,0.9992101,-0.01580716,-0.01204638,0.0006978141,-0.9998022,0.1896297,0.7871752,4.979319,47,0,0,0
1,1,1,1,1,1,12,0.529,1.150747,0.1256505,0.0,4.998421,0.07661336,0.9451137,0.2340041,0.02480688,-0.02258236,0.9994372,-0.01129564,-0.01240257,-0.0002312548,-0.9998593,0.1944892,0.8378083,4.98307,47,0,0,0
1,1,1,1,1,1,13,0.571,1.150747,0.1256505,0.0,4.998421,0.0774732,0.9502041,0.2344398,0.0280837,-0.009079201,0.9995643,-0.00451671,-0.01405092,0.001664571,-0.9998897,0.2109994,0.9070364,4.986948,40,0,0,0
1,1,1,1,1,1,14,0.626,1.150747,0.1256505,0.0,4.998421,0.07777146,0.956026,0.2344686,0.02742997,0.005454372,0.9996089,0.002741136,-0.0137136,0.0009975891,-0.9999017,0.2082913,0.9819795,4.9909,40,0,0,0
1,1,1,1,1,1,15,0.682,1.150747,0.1256505,0.0,4.998421,0.07811608,0.9610178,0.2344249,0.02713444,0.01590244,0.9995053,0.007993402,-0.01354467,0.003038627,-0.9998717,0.2073022,1.036729,4.993032,33,0,0,0
1,1,1,1,1,1,16,0.724,1.150747,0.1256505,0.0,4.998421,0.07760829,0.9641008,0.2339656,0.02464957,0.02332237,0.999424,0.01168665,-0.012304,0.001931623,-0.9998542,0.1950244,1.075195,4.994636,33,0,0,0
1,1,1,1,1,1,17,0.779,1.150747,0.1256505,0.0,4.998421,0.07645298,0.9677846,0.2330864,0.01879502,0.03127373,0.9993342,0.01565463,-0.009373805,0.001614861,-0.9998322,0.1660421,1.116855,4.996551,32,0,0,0
1,1,1,1,1,1,18,0.821,1.150747,0.1256505,0.0,4.998421,0.07570666,0.9701629,0.2326995,0.01670127,0.03812992,0.9991332,0.01906764,-0.008355776,-0.0001746444,-0.9997833,0.1553515,1.151996,4.997356,25,0,0,0
