small_target,small_area,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,selection,success,wrong
1,0,1,1,1,0.0,1.478325,1.016842,1.039559,4.783864,-0.02785192,0.8283267,0.2276364,0.0108011,0.06875735,0.9975749,-0.03475415,0.002163023,-0.09346547,0.9950135,0,0,0
1,0,1,1,2,0.013,1.478325,1.016842,1.039559,4.783864,-0.02788538,0.828338,0.2276388,0.01077007,0.0690551,0.9975547,-0.03490144,0.002129555,-0.0935817,0.9949974,0,0,0
1,0,1,1,3,0.068,1.478325,1.016842,1.039559,4.783864,-0.02810185,0.8283595,0.227764,0.0102344,0.06861311,0.9975908,-0.03465764,0.001850456,-0.0945289,0.994917,0,0,0
1,0,1,1,4,0.124,1.478325,1.016842,1.039559,4.783864,-0.02861625,0.8285458,0.2278651,0.008307877,0.06978212,0.9975277,-0.03514946,0.000827402,-0.09476031,0.9948791,0,0,0
1,0,1,1,5,0.166,1.478325,1.016842,1.039559,4.783864,-0.02899232,0.8287748,0.2278991,0.006669665,0.07054969,0.997486,-0.0354544,-3.07262e-05,-0.09492194,0.9948532,0,0,0
1,0,1,1,6,0.221,1.478325,1.016842,1.039559,4.783864,-0.02939166,0.8291789,0.2278361,0.005346254,0.07175358,0.997408,-0.03599159,-0.0007580817,-0.09522419,0.9948047,0,0,0
1,0,1,1,7,0.263,1.478325,1.016842,1.039559,4.783864,-0.02951733,0.8294071,0.2277485,0.004668289,0.07267606,0.9973447,-0.0364188,-0.001155376,-0.09564986,0.9947479,0,0,0
1,0,1,1,8,0.319,1.478325,1.016842,1.039559,4.783864,-0.02950489,0.8295383,0.227699,0.005693757,0.07281048,0.9973295,-0.03653457,-0.0006739796,-0.09627254,0.9946841,0,0,0
1,0,1,1,9,0.375,1.478325,1.016842,1.039559,4.783864,-0.02945493,0.8297136,0.2275221,0.00698106,0.0737449,0.9972527,-0.03706263,-9.939073e-05,-0.09684648,0.994609,0,0,0
1,0,1,1,10,0.416,1.478325,1.016842,1.039559,4.783864,-0.02966674,0.8301349,0.2271117,0.005336524,0.0771919,0.9970019,-0.03870222,-0.001073271,-0.09652452,0.9945773,0,0,0
1,0,1,1,11,0.472,1.478325,1.016842,1.039559,4.783864,-0.03001188,0.8318753,0.226034,-0.01781328,0.08874955,0.9958947,-0.04330986,-0.01330107,-0.09962034,0.9939935,0,0,0
1,0,1,1,12,0.514,1.478325,1.016842,1.039559,4.783864,-0.027643,0.8337851,0.2261082,-0.0004555387,0.08675991,0.9962292,-0.04314811,-0.004864932,-0.10672,0.9933406,0,0,0
