small_target,small_area,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,selection,success,wrong
1,0,1,1,1,0.0,1.137008,0.5112213,1.039559,4.863946,0.1019907,0.8453517,0.522238,-0.01827416,0.0776403,0.996814,-0.03985965,-0.002058133,0.1784675,0.983136,0,0,0
1,0,1,1,2,0.041,1.137008,0.5112213,1.039559,4.863946,0.1017753,0.8456754,0.5216896,-0.01745655,0.08608162,0.9961351,-0.04395011,-0.0009032785,0.1783925,0.982977,0,0,0
1,0,1,1,3,0.097,1.137008,0.5112213,1.039559,4.863946,0.1018156,0.8457409,0.5215959,-0.01564027,0.08672967,0.9961091,-0.04410722,-2.656877e-05,0.176706,0.9832749,0,0,0
1,0,1,1,4,0.138,1.137008,0.5112213,1.039559,4.863946,0.1018076,0.8456556,0.5216614,-0.01547779,0.08543643,0.9962234,-0.04345456,-5.720556e-05,0.1767972,0.9832876,0,0,0
1,0,1,1,5,0.194,1.137008,0.5112213,1.039559,4.863946,0.1018178,0.8455089,0.5218295,-0.01490961,0.08366057,0.9963828,-0.04252781,5.838275e-05,0.1766424,0.9833559,0,0,0
1,0,1,1,6,0.236,1.137008,0.5112213,1.039559,4.863946,0.1016717,0.8454207,0.5217534,-0.01735002,0.08257948,0.9964334,-0.04221078,-0.001236096,0.1767199,0.9833549,0,0,0
1,0,1,1,7,0.292,1.137008,0.5112213,1.039559,4.863946,0.1014452,0.8451132,0.5218405,-0.02016741,0.07861887,0.9967007,-0.04051078,-0.002917319,0.1781126,0.9831715,0,0,0
1,0,1,1,8,0.347,1.137008,0.5112213,1.039559,4.863946,0.1024833,0.8451731,0.5225974,-0.01202767,0.07200457,0.9973318,-0.03652402,0.0003267229,0.173458,0.9841637,0,0,0
1,0,1,1,9,0.389,1.137008,0.5112213,1.039559,4.863946,0.1038258,0.8457288,0.5231773,0.0003916472,0.07148133,0.9974419,-0.03522854,0.00616601,0.1669016,0.9853247,0,0,0
1,0,1,1,10,0.445,1.137008,0.5112213,1.039559,4.863946,0.1070503,0.8488832,0.5222424,0.04475683,0.1273378,0.9908491,-0.05978108,0.03164934,0.148023,0.9866681,0,0,0
1,0,1,1,11,0.487,1.137008,0.5112213,1.039559,4.863946,0.1079854,0.8509474,0.5211443,0.06573454,0.1663089,0.9838802,-0.07799499,0.04445967,0.1406394,0.9859821,0,0,0
1,0,1,1,12,0.542,1.137008,0.5112213,1.039559,4.863946,0.1083685,0.8545117,0.5182317,0.06958438,0.2353741,0.9694107,-0.1128357,0.05062371,0.1328537,0.9833897,0,0,0
1,0,1,1,13,0.598,1.137008,0.5112213,1.039559,4.863946,0.1096589,0.8570824,0.5169274,0.09032487,0.2773674,0.9565086,-0.1335126,0.06261047,0.1220149,0.9815125,0,0,0
1,0,1,1,14,0.64,1.137008,0.5112213,1.039559,4.863946,0.1109073,0.8583407,0.516428,0.105483,0.2949475,0.9496732,-0.1421989,0.07030542,0.1139921,0.9807357,0,0,0
1,0,1,1,15,0.696,1.137008,0.5112213,1.039559,4.863946,0.1115506,0.858582,0.516589,0.1075856,0.2927038,0.9501315,-0.1411643,0.07075937,0.1107769,0.9812208,0,0,0
1,0,1,1,16,0.737,1.137008,0.5112213,1.039559,4.863946,0.1116007,0.8585028,0.5166231,0.1059717,0.2901751,0.951088,-0.1399304,0.06982466,0.1110712,0.9814312,0,0,0
1,0,1,1,17,0.793,1.137008,0.5112213,1.039559,4.863946,0.1102659,0.8581617,0.5163644,0.09466499,0.2874875,0.9530947,-0.1387359,0.06484609,0.1174496,0.9811997,0,0,0
1,0,1,1,18,0.849,1.137008,0.5112213,1.039559,4.863946,0.1092305,0.8579152,0.5160164,0.08663002,0.2903835,0.9529809,-0.1403636,0.06170563,0.1224736,0.9805563,0,0,0
1,0,1,1,19,0.891,1.137008,0.5112213,1.039559,4.863946,0.1088638,0.8578103,0.5159163,0.08433003,0.2909302,0.9530205,-0.1406809,0.06081633,0.1240898,0.9803632,0,0,0
1,0,1,1,20,0.946,1.137008,0.5112213,1.039559,4.863946,0.1091829,0.8577299,0.5162301,0.08707134,0.2876188,0.9537788,-0.1388846,0.06181958,0.1230518,0.9806873,0,0,0
1,0,1,1,21,0.988,1.137008,0.5112213,1.039559,4.863946,0.1094945,0.8577138,0.5163496,0.08887888,0.285522,0.9542419,-0.1377963,0.06237948,0.1215859,0.9809882,0,0,0
1,0,1,1,22,1.044,1.137008,0.5112213,1.039559,4.863946,0.1095743,0.8578721,0.5161935,0.0887813,0.2881087,0.9534733,-0.1391781,0.06239264,0.120779,0.9808919,0,0,0
1,0,1,1,23,1.086,1.137008,0.5112213,1.039559,4.863946,0.109468,0.8579257,0.5160478,0.08844142,0.2903912,0.9528122,-0.1403456,0.06242616,0.1211255,0.9806808,0,0,0
1,0,1,1,24,1.142,1.137008,0.5112213,1.039559,4.863946,0.1093549,0.8580439,0.5158443,0.0873464,0.2928569,0.9521583,-0.1416773,0.06203526,0.1210752,0.9805202,0,0,0
1,0,1,1,25,1.197,1.137008,0.5112213,1.039559,4.863946,0.1094551,0.8583165,0.5155139,0.08696456,0.2964858,0.9510696,-0.1436306,0.06193109,0.119985,0.9803767,0,0,0
1,0,1,1,26,1.239,1.137008,0.5112213,1.039559,4.863946,0.1093962,0.8582828,0.5154639,0.08627604,0.2961608,0.9512335,-0.1434817,0.06161365,0.1203391,0.9803751,0,0,0
1,0,1,1,27,1.295,1.137008,0.5112213,1.039559,4.863946,0.1093477,0.858448,0.5152525,0.08669788,0.2991916,0.9502462,-0.1450118,0.06203597,0.1203611,0.9801205,0,0,0
1,0,1,1,28,1.337,1.137008,0.5112213,1.039559,4.863946,0.1092491,0.8584364,0.5152172,0.08558571,0.2993164,0.9503077,-0.1451254,0.06152035,0.1206101,0.9801056,0,0,0
1,0,1,1,29,1.392,1.137008,0.5112213,1.039559,4.863946,0.109388,0.8585128,0.5152062,0.08660599,0.299408,0.9501864,-0.1451799,0.06188356,0.1195454,0.9802052,0,0,0
1,0,1,1,30,1.448,1.137008,0.5112213,1.039559,4.863946,0.1095937,0.8583937,0.5154664,0.08849695,0.2975645,0.9505912,-0.1441634,0.06262026,0.118917,0.9803848,0,0,0
1,0,1,1,31,1.49,1.137008,0.5112213,1.039559,4.863946,0.1097848,0.8583708,0.5155639,0.09030367,0.2968625,0.9506408,-0.1437676,0.06332826,0.1178511,0.9805261,0,0,0
1,0,1,1,32,1.545,1.137008,0.5112213,1.039559,4.863946,0.1098696,0.8582442,0.5156527,0.09038582,0.295963,0.9509134,-0.1433514,0.06319553,0.1170708,0.9806892,0,0,0
1,0,1,1,33,1.587,1.137008,0.5112213,1.039559,4.863946,0.1101101,0.8582304,0.5157465,0.09272461,0.2957891,0.9507423,-0.1432119,0.06418088,0.1158142,0.9807947,0,0,0
1,0,1,1,34,1.643,1.137008,0.5112213,1.039559,4.863946,0.1100076,0.8581158,0.5157852,0.08907449,0.2943796,0.9515284,-0.1427133,0.06219865,0.1154883,0.9810335,1,0,0
1,0,1,1,35,1.699,1.137008,0.5112213,1.039559,4.863946,0.1099024,0.8582008,0.5156106,0.08805628,0.2960241,0.9511129,-0.1435856,0.06186049,0.1159527,0.9808728,0,0,0
1,0,1,1,36,1.74,1.137008,0.5112213,1.039559,4.863946,0.1097127,0.8582359,0.5153149,0.08497353,0.2951803,0.9516554,-0.1432318,0.06047256,0.1174774,0.9808295,0,0,0
1,0,1,1,37,1.796,1.137008,0.5112213,1.039559,4.863946,0.1095189,0.8579227,0.5154621,0.08385281,0.2906269,0.9531552,-0.1407697,0.06005264,0.120589,0.9808342,0,0,0
1,0,1,1,38,1.838,1.137008,0.5112213,1.039559,4.863946,0.1095536,0.8579647,0.5154811,0.08447166,0.2914408,0.952852,-0.1411662,0.06038332,0.1203363,0.9807881,0,0,0
1,0,1,1,39,1.894,1.137008,0.5112213,1.039559,4.863946,0.1097036,0.8578935,0.5155702,0.08562408,0.2910211,0.9528773,-0.1408939,0.06091174,0.1201692,0.980815,0,0,0
1,0,1,1,40,1.935,1.137008,0.5112213,1.039559,4.863946,0.1100043,0.8579251,0.5156441,0.08720103,0.2907955,0.9528032,-0.1408042,0.06142133,0.1182872,0.9810248,0,0,0
1,0,1,1,41,1.991,1.137008,0.5112213,1.039559,4.863946,0.1100335,0.8579168,0.5156125,0.08678164,0.2913989,0.9526571,-0.1411966,0.06111421,0.1173427,0.981101,0,0,0
1,0,1,1,42,2.047,1.137008,0.5112213,1.039559,4.863946,0.1101912,0.8579844,0.5156402,0.08860952,0.2934352,0.9518635,-0.1422154,0.06199226,0.1161089,0.9810456,0,0,0
1,0,1,1,43,2.089,1.137008,0.5112213,1.039559,4.863946,0.1104318,0.8580579,0.5157276,0.09103285,0.293755,0.9515361,-0.1422902,0.06313019,0.1153793,0.9810482,1,0,0
1,0,1,1,44,2.144,1.137008,0.5112213,1.039559,4.863946,0.1104474,0.8581893,0.5155965,0.0897727,0.2943622,0.9514682,-0.1426986,0.06247397,0.1149666,0.9810794,0,0,0
1,0,1,1,45,2.186,1.137008,0.5112213,1.039559,4.863946,0.1099993,0.857928,0.5155073,0.08709718,0.2921403,0.9524012,-0.1415066,0.06144324,0.11818,0.9809353,0,0,0
