small_target,small_area,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,selection,success,wrong
1,0,1,1,1,0.0,1.244401,0.0,-1.039559,4.890738,0.1855772,0.9863516,0.1158084,-0.03857323,0.03541093,0.9986281,-0.02209099,-0.01406825,0.2580092,0.9657874,1,0,0
1,0,1,1,2,0.041,1.244401,0.0,-1.039559,4.890738,0.1857977,0.989079,0.1155979,-0.0266247,0.04620965,0.9985769,-0.02566624,-0.007266493,0.2442344,0.9693493,1,0,0
1,0,1,1,3,0.083,1.244401,0.0,-1.039559,4.890738,0.1845658,0.9893333,0.1145864,-0.03377788,0.05012818,0.9981714,-0.02848608,-0.01014023,0.2482215,0.9682314,0,0,0
1,0,1,1,4,0.138,1.244401,0.0,-1.039559,4.890738,0.1844225,0.9893168,0.1145183,-0.03924809,0.04558259,0.9981893,-0.02694411,-0.01339331,0.2468632,0.968583,0,0,0
1,0,1,1,5,0.194,1.244401,0.0,-1.039559,4.890738,0.1843888,0.9891012,0.1144977,-0.03918114,0.04335448,0.9982911,-0.02587735,-0.0135936,0.2484486,0.968204,0,0,0
1,0,1,1,6,0.236,1.244401,0.0,-1.039559,4.890738,0.1843508,0.9887904,0.1144686,-0.042218,0.04087242,0.9982721,-0.02504304,-0.015389,0.2478552,0.9683511,0,0,0
1,0,1,1,7,0.292,1.244401,0.0,-1.039559,4.890738,0.1845027,0.9886976,0.1144919,-0.0404159,0.0408134,0.9983491,-0.0248011,-0.01450452,0.2485717,0.9681873,0,0,0
1,0,1,1,8,0.333,1.244401,0.0,-1.039559,4.890738,0.1848258,0.9887885,0.1145687,-0.0402081,0.04056596,0.9983675,-0.02463162,-0.01447485,0.2469894,0.9685969,0,0,0
1,0,1,1,9,0.389,1.244401,0.0,-1.039559,4.890738,0.185249,0.9850894,0.1154961,-0.04352443,0.01502843,0.9989393,-0.01270383,-0.01920811,0.2491421,0.9681931,0,0,0
1,0,1,1,10,0.445,1.244401,0.0,-1.039559,4.890738,0.1830668,0.9701102,0.1169707,-0.06204064,-0.1034591,0.9926969,0.0411725,-0.0442308,0.2768298,0.959017,0,0,0
1,0,1,1,11,0.487,1.244401,0.0,-1.039559,4.890738,0.1823722,0.9621933,0.1199477,-0.05525814,-0.1429856,0.988181,0.05978207,-0.0483282,0.3051684,0.9491905,0,0,0
1,0,1,1,12,0.542,1.244401,0.0,-1.039559,4.890738,0.1823078,0.9567881,0.1239731,-0.03631491,-0.1591055,0.9865935,0.07064153,-0.04138886,0.299843,0.9504688,0,0,0
1,0,1,1,13,0.584,1.244401,0.0,-1.039559,4.890738,0.181378,0.9522451,0.1248575,-0.03926795,-0.1836395,0.982209,0.08169322,-0.04713495,0.3062178,0.9472778,0,0,0
1,0,1,1,14,0.64,1.244401,0.0,-1.039559,4.890738,0.1807189,0.950008,0.1261275,-0.0421049,-0.1920309,0.9804853,0.08509061,-0.05016935,0.3100901,0.9455616,0,0,0
1,0,1,1,15,0.696,1.244401,0.0,-1.039559,4.890738,0.1815471,0.9506649,0.1268913,-0.0314137,-0.1861005,0.9820284,0.0841056,-0.04372693,0.30579,0.9473682,0,0,0
1,0,1,1,16,0.738,1.244401,0.0,-1.039559,4.890738,0.1816095,0.9517383,0.1264419,-0.03415218,-0.177515,0.9835253,0.07959274,-0.04361573,0.3049638,0.9480294,0,0,0
1,0,1,1,17,0.793,1.244401,0.0,-1.039559,4.890738,0.1818842,0.9531679,0.1258606,-0.03931164,-0.1706772,0.9845425,0.0756783,-0.04473873,0.3015259,0.9493964,0,0,0
1,0,1,1,18,0.835,1.244401,0.0,-1.039559,4.890738,0.1818806,0.9535122,0.1256946,-0.03723066,-0.1689639,0.9849188,0.07514702,-0.04351458,0.3020068,0.9493425,0,0,0
1,0,1,1,19,0.891,1.244401,0.0,-1.039559,4.890738,0.1814537,0.9539702,0.1251807,-0.04045353,-0.1675754,0.9850289,0.07398736,-0.04484869,0.3020818,0.9493477,0,0,0
1,0,1,1,20,0.933,1.244401,0.0,-1.039559,4.890738,0.1811818,0.9541514,0.1249685,-0.04161289,-0.1664372,0.9851736,0.07326998,-0.04521848,0.3019656,0.9494228,0,0,0
1,0,1,1,21,0.988,1.244401,0.0,-1.039559,4.890738,0.181238,0.9554151,0.1249457,-0.04086519,-0.1588251,0.9864606,0.06985938,-0.04346658,0.2990371,0.9506876,0,0,0
1,0,1,1,22,1.044,1.244401,0.0,-1.039559,4.890738,0.1814013,0.9555892,0.1248067,-0.04151104,-0.1562149,0.9868504,0.06847665,-0.04342512,0.2997139,0.9505771,0,0,0
