small_target,small_area,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,selection,success,wrong
1,0,1,1,1,0.0,1.553651,-0.5112213,-1.039559,4.863946,0.05772508,0.8166466,0.1828095,-0.01309372,0.07296055,0.9972489,-0.0358106,-0.009652168,-0.08554069,0.9956442,1,0,0
1,0,1,1,2,0.04,1.553651,-0.5112213,-1.039559,4.863946,0.05753794,0.8187772,0.181564,-0.01313294,0.08736487,0.9960898,-0.04298208,-0.01037485,-0.0874423,0.9951878,1,0,0
1,0,1,1,3,0.096,1.553651,-0.5112213,-1.039559,4.863946,0.05738479,0.8193786,0.1811329,-0.01637932,0.08676741,0.9960939,-0.04254509,-0.01195601,-0.08718037,0.9952118,0,0,0
1,0,1,1,4,0.138,1.553651,-0.5112213,-1.039559,4.863946,0.05756167,0.819599,0.1809,-0.01605261,0.08370539,0.9963613,-0.04100832,-0.01173446,-0.08902673,0.9951156,0,0,0
1,0,1,1,5,0.193,1.553651,-0.5112213,-1.039559,4.863946,0.05786216,0.8198975,0.1806198,-0.0133915,0.08618637,0.996189,-0.04235283,-0.01056996,-0.09021802,0.994965,0,0,0
1,0,1,1,6,0.249,1.553651,-0.5112213,-1.039559,4.863946,0.05800419,0.8201505,0.1807801,-0.01263374,0.08503457,0.9962979,-0.04179532,-0.01020783,-0.09183637,0.9948441,0,0,0
1,0,1,1,7,0.291,1.553651,-0.5112213,-1.039559,4.863946,0.05813884,0.8200829,0.1811431,-0.01035056,0.08134402,0.9966323,-0.04005305,-0.008920997,-0.09237812,0.9948781,0,0,0
1,0,1,1,8,0.347,1.553651,-0.5112213,-1.039559,4.863946,0.05794809,0.8196868,0.1814841,-0.01087699,0.07498702,0.9971252,-0.03685964,-0.00887543,-0.09204781,0.9950325,0,0,0
1,0,1,1,9,0.388,1.553651,-0.5112213,-1.039559,4.863946,0.05782554,0.8192416,0.181611,-0.01147723,0.07057697,0.9974403,-0.03462735,-0.008988501,-0.09257162,0.9950632,0,0,0
1,0,1,1,10,0.444,1.553651,-0.5112213,-1.039559,4.863946,0.05749907,0.8188597,0.1816204,-0.01255949,0.06855209,0.9975685,-0.03356968,-0.009425342,-0.09233275,0.9951175,0,0,0
1,0,1,1,11,0.5,1.553651,-0.5112213,-1.039559,4.863946,0.05575668,0.815639,0.1831776,-0.02422094,0.03723176,0.9990131,-0.01747577,-0.01371333,-0.08844915,0.995833,0,0,0
1,0,1,1,12,0.542,1.553651,-0.5112213,-1.039559,4.863946,0.05324675,0.8117236,0.1844931,-0.04212659,-0.002315492,0.9991096,0.002841901,-0.02090752,-0.08008564,0.9965647,0,0,0
1,0,1,1,13,0.598,1.553651,-0.5112213,-1.039559,4.863946,0.05017434,0.8076392,0.1847266,-0.0635252,-0.03698816,0.9972945,0.02068205,-0.03041342,-0.06982023,0.9968814,0,0,0
1,0,1,1,14,0.639,1.553651,-0.5112213,-1.039559,4.863946,0.04822363,0.8054043,0.185104,-0.06951886,-0.05433179,0.9961,0.02931602,-0.03302389,-0.06250461,0.9970673,0,0,0
1,0,1,1,15,0.695,1.553651,-0.5112213,-1.039559,4.863946,0.04709965,0.8027724,0.1862105,-0.07445496,-0.07924153,0.9940711,0.04181648,-0.03486919,-0.05909231,0.9967666,0,0,0
