manual_click,small_target,small_area,method,block_idx,trial_idx,time_step,time_elapsed,eye_height,target_pos_x,target_pos_y,target_pos_z,position_x,position_y,position_z,direction_x,direction_y,direction_z,rotation_x,rotation_y,rotation_z,rotation_w,cursor_x,cursor_y,cursor_z,inferred_idx,selection,success,wrong
1,0,1,3,1,1,1,0.0,1.15476,0.1254918,0.2512217,4.992108,0.1333016,0.908044,0.07316242,-0.05250268,0.06327148,0.9966143,0.03189442,0.02599162,-0.008865241,-0.9991139,-0.1261638,1.220728,4.998376,-1,0,0,0
1,0,1,3,1,1,2,0.05,1.15476,0.1254918,0.2512217,4.992108,0.09648006,0.8474706,0.2514359,-0.02228034,-0.1842562,0.9826257,-0.09303419,0.005639237,0.05949981,-0.9938675,-0.007792786,-0.01485556,4.850161,-1,0,0,0
1,0,1,3,1,1,3,0.103,1.15476,0.1254918,0.2512217,4.992108,0.09670852,0.8477544,0.2514706,-0.02000065,-0.1821056,0.9830756,-0.09188316,0.004440297,0.06080667,-0.9939016,0.003096037,-0.004585803,4.852727,-1,0,0,0
1,0,1,3,1,1,4,0.147,1.15476,0.1254918,0.2512217,4.992108,0.09639598,0.8478778,0.2513014,-0.02251804,-0.181102,0.9832065,-0.09144948,0.005809459,0.05997306,-0.9939852,-0.009015359,0.0001040697,4.853882,-1,0,0,0
1,0,1,3,1,1,5,0.201,1.15476,0.1254918,0.2512217,4.992108,0.09596898,0.8478442,0.2510626,-0.02366678,-0.1809548,0.9832066,-0.09140679,0.006441279,0.05941173,-0.9940189,-0.01482868,0.0006917119,4.854012,-1,0,0,0
1,0,1,3,1,1,6,0.244,1.15476,0.1254918,0.2512217,4.992108,0.09525609,0.8505765,0.2498495,-0.02782154,-0.14837,0.9885405,-0.07513246,0.009212391,0.06313169,-0.9951305,-0.03531656,0.1542432,4.889288,-1,0,0,0
1,0,1,3,1,1,7,0.298,1.15476,0.1254918,0.2512217,4.992108,0.09496717,0.8610802,0.245311,-0.03175094,-0.03792095,0.9987762,-0.0201109,0.01440334,0.07546255,-0.9968418,-0.05531722,0.6815917,4.972745,-1,0,0,0
1,0,1,3,1,1,8,0.354,1.15476,0.1254918,0.2512217,4.992108,0.09603262,0.8735453,0.2381794,-0.01763408,0.07955775,0.9966743,0.03876725,0.01264771,0.09700074,-0.9944486,0.01178743,1.253625,4.999699,-1,0,0,0
1,0,1,3,1,1,9,0.394,1.15476,0.1254918,0.2512217,4.992108,0.09621,0.8780364,0.2345307,-0.02587343,0.1131065,0.993246,0.0549161,0.01900664,0.1079212,-0.9924596,-0.02779913,1.420146,4.995074,-1,0,0,0
1,0,1,3,1,1,10,0.45,1.15476,0.1254918,0.2512217,4.992108,0.09671067,0.8838814,0.2303764,-0.01345162,0.1461444,0.9891718,0.072115,0.01461249,0.1076328,-0.9914641,0.03205384,1.586342,4.984948,-1,0,0,0
1,0,1,3,1,1,11,0.505,1.15476,0.1254918,0.2512217,4.992108,0.09727891,0.8840404,0.2300111,-0.002787172,0.1525855,0.9882864,0.07598115,0.009148221,0.1010883,-0.9919296,0.08387783,1.617691,4.981817,3,0,0,0
1,0,1,3,1,1,12,0.546,1.15476,0.1254918,0.2512217,4.992108,0.09824577,0.8844326,0.2300357,0.001162207,0.151127,0.9885136,0.07540236,0.007592683,0.1075272,-0.9913096,0.1038327,1.610928,4.982004,3,0,0,0
1,0,1,3,1,1,13,0.602,1.15476,0.1254918,0.2512217,4.992108,0.09854711,0.8840317,0.2304922,0.002706693,0.1441435,0.9895531,0.07197964,0.006510327,0.1084769,-0.9914683,0.1115507,1.576533,4.984554,3,0,0,0
1,0,1,3,1,1,14,0.645,1.15476,0.1254918,0.2512217,4.992108,0.09836401,0.8835384,0.23078,0.000205256,0.1386581,0.9903403,0.06911473,0.007280932,0.105981,-0.9919366,0.09934973,1.54943,4.986786,3,0,0,0
1,0,1,3,1,1,15,0.698,1.15476,0.1254918,0.2512217,4.992108,0.09809151,0.8832453,0.2309537,-0.002251247,0.134408,0.9909235,0.0668641,0.008211843,0.1050197,-0.9921858,0.08728315,1.528545,4.988431,3,0,0,0
1,0,1,3,1,1,16,0.754,1.15476,0.1254918,0.2512217,4.992108,0.09831056,0.8833865,0.2310319,-0.002443428,0.1345482,0.990904,0.06690291,0.008484112,0.1075257,-0.9919124,0.08657959,1.529356,4.988389,3,0,0,0
1,0,1,3,1,1,17,0.796,1.15476,0.1254918,0.2512217,4.992108,0.09837584,0.8834425,0.231058,-0.003674825,0.1335575,0.9910343,0.06633186,0.009107938,0.108488,-0.9918405,0.08073381,1.524623,4.988798,3,0,0,0
1,0,1,3,1,1,18,0.851,1.15476,0.1254918,0.2512217,4.992108,0.09872796,0.8835993,0.2310748,4.12045e-05,0.1349022,0.9908589,0.06721473,0.007260859,0.1074573,-0.9919085,0.09892577,1.531244,4.988035,3,0,0,0
1,0,1,3,1,1,19,0.894,1.15476,0.1254918,0.2512217,4.992108,0.09921013,0.8836843,0.231274,0.000357477,0.1333878,0.9910638,0.06646228,0.007130082,0.1090878,-0.9917821,0.100926,1.523958,4.988473,3,0,0,0
1,0,1,3,1,1,20,0.894,1.15476,0.1254918,0.2512217,4.992108,0.09931171,0.883691,0.2313205,0.0007178411,0.1333501,0.9910687,0.06646273,0.006952443,0.1091468,-0.9917769,0.1027573,1.523771,4.988448,3,1,1,0
1,0,1,3,1,2,1,0.0,1.15476,0.0,0.2512217,4.993685,0.09931171,0.883691,0.2313205,0.0007178411,0.1333501,0.9910687,0.06646273,0.006952443,0.1091468,-0.9917769,0.1027573,1.523771,4.988448,-1,0,0,0
1,0,1,3,1,2,2,0.021,1.15476,0.0,0.2512217,4.993685,0.09516746,0.8470977,0.2503839,-0.02392062,-0.1810691,0.9831795,-0.09123243,0.009323703,0.02937482,-0.9953526,-0.01682981,-0.0006750226,4.853669,-1,0,0,0
1,0,1,3,1,2,3,0.073,1.15476,0.0,0.2512217,4.993685,0.09521674,0.8405224,0.2527445,-0.02987714,-0.2114599,0.9769299,-0.1068414,0.01095227,0.03797774,-0.9934902,-0.04430754,-0.1469817,4.814943,-1,0,0,0
1,0,1,3,1,2,4,0.116,1.15476,0.0,0.2512217,4.993685,0.09574951,0.8394517,0.253731,-0.01983142,-0.2179713,0.9757537,-0.1099831,0.005184157,0.0433519,-0.992974,0.003218442,-0.1775767,4.806482,-1,0,0,0
1,0,1,3,1,2,5,0.17,1.15476,0.0,0.2512217,4.993685,0.09516917,0.8407761,0.2532498,-0.02637301,-0.2059623,0.9782045,-0.1040408,0.008559735,0.04500404,-0.9935175,-0.02801253,-0.1212223,4.822197,-1,0,0,0
1,0,1,3,1,2,6,0.226,1.15476,0.0,0.2512217,4.993685,0.0948964,0.8414966,0.2528207,-0.0297411,-0.2018871,0.9789571,-0.1020479,0.01037559,0.04468593,-0.9937212,-0.04407906,-0.1018898,4.827332,-1,0,0,0
1,0,1,3,1,2,7,0.267,1.15476,0.0,0.2512217,4.993685,0.0957943,0.842656,0.2527981,-0.01856447,-0.1872461,0.9821376,-0.09436238,0.005190948,0.04365608,-0.9945667,0.008980922,-0.03296661,4.845587,-1,0,0,0
1,0,1,3,1,2,8,0.323,1.15476,0.0,0.2512217,4.993685,0.0963077,0.8468511,0.2516059,-0.02687152,-0.1439459,0.9892207,-0.0727853,0.009590228,0.05337782,-0.995872,-0.02977207,0.1714646,4.892978,-1,0,0,0
1,0,1,3,1,2,9,0.379,1.15476,0.0,0.2512217,4.993685,0.09597769,0.8565266,0.2473561,-0.03670517,-0.05486766,0.9978188,-0.028618,0.01648125,0.06699892,-0.9972064,-0.07748657,0.5972286,4.962929,-1,0,0,0
1,0,1,3,1,2,10,0.419,1.15476,0.0,0.2512217,4.993685,0.0965262,0.8641689,0.2430608,-0.03626482,0.0156848,0.9992191,0.006294506,0.01873017,0.08389234,-0.9962789,-0.07584933,0.9387226,4.992592,-1,0,0,0
1,0,1,3,1,2,11,0.476,1.15476,0.0,0.2512217,4.993685,0.09639122,0.8720055,0.2380004,-0.04346649,0.0790306,0.9959241,0.03717705,0.02560884,0.1000826,-0.9939545,-0.1113783,1.249771,4.998511,-1,0,0,0
1,0,1,3,1,2,12,0.518,1.15476,0.0,0.2512217,4.993685,0.09656164,0.874657,0.236045,-0.03838558,0.09067143,0.9951408,0.04322626,0.02368722,0.1005289,-0.9937124,-0.08712374,1.308544,4.998063,-1,0,0,0
1,0,1,3,1,2,13,0.572,1.15476,0.0,0.2512217,4.993685,0.09695797,0.8764814,0.2349308,-0.02313628,0.1043178,0.9942749,0.05091148,0.01644955,0.09398537,-0.9941349,-0.01385017,1.376098,4.996879,-1,0,0,0
1,0,1,3,1,2,14,0.628,1.15476,0.0,0.2512217,4.993685,0.0973965,0.8758402,0.2354618,-0.02231727,0.09212946,0.9954969,0.04484907,0.01549532,0.09474982,-0.9943696,-0.009385288,1.316653,4.998631,-1,0,0,0
1,0,1,3,1,2,15,0.67,1.15476,0.0,0.2512217,4.993685,0.09849166,0.8770583,0.234754,-0.01903423,0.1060858,0.9941748,0.05189477,0.01481697,0.1002698,-0.9934955,0.007323176,1.385179,4.996564,2,0,0,0
